last_traded_time,bid_ask_diff,bid_ask_pr_diff,last_traded_time,bid_ask_diff,bid_ask_pr_diff,last_traded_time,bid_ask_diff,bid_ask_pr_diff
27-03-2025 14:05,29250,-0.65,27-03-2025 14:05,3000,-0.05,27-03-2025 14:05,6342900,-4.44E-16
27-03-2025 14:10,186525,0.1,27-03-2025 14:10,2925,0,27-03-2025 14:10,16250100,2.22E-16
27-03-2025 14:15,-67275,-0.6,27-03-2025 14:15,2625,0,27-03-2025 14:15,6408675,-2.22E-16
27-03-2025 14:20,-93150,-0.25,27-03-2025 14:20,2700,0,27-03-2025 14:20,3686175,0
27-03-2025 14:25,-15375,0.1,27-03-2025 14:25,2550,-0.15,27-03-2025 14:25,12512625,0
27-03-2025 14:30,143475,-3.75,27-03-2025 14:30,9000,0.05,27-03-2025 14:30,5672100,2.22E-16
27-03-2025 14:35,-91875,-1.7,27-03-2025 14:35,7425,0,27-03-2025 14:35,10726725,0
27-03-2025 14:40,-73725,0.35,27-03-2025 14:40,2550,0.1,27-03-2025 14:40,-2002575,0
27-03-2025 14:45,12075,1.05,27-03-2025 14:45,14850,0,27-03-2025 14:45,11772525,0
27-03-2025 14:50,1575,-1,27-03-2025 14:50,2175,-0.05,27-03-2025 14:50,10415700,0
27-03-2025 14:55,138000,0.3,27-03-2025 14:55,5175,0,27-03-2025 14:55,48758325,-5.55E-17
27-03-2025 15:00,-17475,-0.25,27-03-2025 15:00,1875,0,27-03-2025 15:00,38099775,-1.11E-16
27-03-2025 15:05,-25575,-0.55,27-03-2025 15:05,2325,-0.1,27-03-2025 15:05,74044950,-5.55E-17
27-03-2025 15:10,-1275,-3.55,27-03-2025 15:10,4950,0.05,27-03-2025 15:10,155560350,0
27-03-2025 15:15,101775,-2.9,27-03-2025 15:15,4200,-0.1,27-03-2025 15:15,234504675,0
27-03-2025 15:20,-294075,-0.05,27-03-2025 15:20,5100,0.05,27-03-2025 15:20,777844575,2.78E-17
27-03-2025 15:25,-61800,0.35,27-03-2025 15:25,14700,0.1,27-03-2025 15:25,2312796225,-1.39E-17
