last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
02-12-2025 12:45,23167.25,55050,825,-75,34800,4575,N,2025,Y,1.02,23147,23167.25,165.75,3505800,7650,150,39225,-43050,YES,-25275,Y,0.93,72.6,5682150,2100,13875,48450,176850,YES,120300,Y,-0.91,49805,56100,-90,30,14430,-4500,YES,-4530,Y,15.54
02-12-2025 12:50,23162.55,205500,-150,0,37050,4800,N,2250,N,4.56,23167.85,23162.55,158.55,4312500,-375,-75,42075,-123450,YES,28575,YES,1.39,71,5871675,-75,675,48675,-128925,Y,-85425,YES,-1.07,49775,65520,30,-60,16590,-1380,N,-6270,Y,19.71
02-12-2025 12:55,23166.6,66600,150,75,32625,34050,Y,25125,YES,1.17,23162.55,23166.6,164.05,2152275,525,-975,42300,72000,Y,2250,Y,0.53,67.6,4160700,-600,-150,47100,40800,YES,164625,Y,-0.65,49799.95,31860,0,150,14040,-3780,YES,8040,N,7.97
02-12-2025 13:00,23170,52725,-150,450,38325,14175,N,31350,N,0.91,23166.55,23170,160.5,2403150,-75,-300,46950,-225,YES,22800,YES,0.56,65.6,4923000,-150,1575,50100,30825,N,-88800,YES,-0.75,49797,17190,-60,-4740,10980,-12270,YES,10590,N,4.12
02-12-2025 13:05,23178,53850,-75,-150,32925,-2100,YES,-4275,Y,1.05,23172,23178,167.1,2890050,375,-525,38550,552000,Y,-48600,Y,0.78,62.15,4962450,-375,750,53925,-218250,Y,75975,Y,-0.86,49805.15,22320,30,660,11340,22350,Y,-15540,Y,5.62
02-12-2025 13:10,23199.35,107400,-75,75,33150,6000,N,30525,YES,2.37,23178,23199.35,180.6,2932575,-150,0,39675,-10050,YES,-14925,YES,0.89,54.2,4445100,-2850,-1200,50625,-99825,YES,81450,N,-0.85,49843.6,18570,-90,0,12450,-6840,YES,36210,YES,4.93
02-12-2025 13:15,23203.05,69750,0,150,36150,1425,YES,32250,N,1.39,23204.95,23203.05,178.4,1886550,75,-75,39300,7275,N,-6150,N,0.52,54.95,3210675,0,0,54300,130350,YES,-9675,YES,-0.59,49850.2,11430,0,30,11160,3150,N,4530,N,2.98
02-12-2025 13:20,23214.45,102750,-75,-225,34200,27525,Y,11700,N,2.2,23203.05,23214.45,182.7,1919550,0,225,38775,975,YES,-50475,Y,0.58,50.45,3521775,750,-450,49050,121650,N,30450,Y,-0.69,49891.65,30210,0,0,14580,-9270,YES,10440,N,8.35
02-12-2025 13:25,23219.8,80550,150,375,41475,52200,Y,-13275,Y,1.77,23213,23219.8,189.2,2103825,-150,450,41700,-134100,YES,-39150,N,0.64,46.25,3801600,-2475,3075,57225,-7425,Y,91050,Y,-0.77,49894.1,23640,-150,-30,10620,-1890,N,6630,N,6.18
02-12-2025 13:30,23225,94425,300,-450,33225,-2250,YES,-8475,N,2.14,23219.8,23225,190.45,2270550,-75,-375,44850,-32100,Y,-31500,N,0.73,42.65,4723350,975,-1800,56400,36375,YES,64125,N,-1,49891.15,16620,0,-30,11160,900,N,-10980,Y,4.45
02-12-2025 13:35,23230,52275,-225,525,26700,-7275,YES,-6900,N,1.12,23225,23230,190.65,1340475,-225,0,41250,-82500,YES,35550,YES,0.4,40.1,3945150,2700,3900,64050,105375,YES,15675,N,-0.82,49886,8640,-270,270,11040,-3720,YES,5370,N,2.13
02-12-2025 13:40,23202,139425,-225,-1875,31575,-525,N,1275,N,2.37,23228.95,23202,172.5,3117450,-225,150,37875,4425,Y,-44475,Y,0.71,52,10223325,-2175,-3750,46725,12525,N,-385425,YES,-1.63,49820.5,24930,-30,210,9810,-6300,YES,12120,N,5.16
02-12-2025 13:45,23142.4,153000,-75,75,39600,75825,Y,11850,N,1.98,23200,23142.4,135.7,2360775,-300,0,42000,-1935450,YES,132225,YES,0.41,73,8836875,1125,-1800,48825,201150,YES,-177300,Y,-1.09,49670.35,21660,30,0,10710,36420,Y,5610,N,3.27
02-12-2025 13:50,23132.2,159300,-1275,150,41400,-65850,YES,30150,N,1.6,23140.25,23132.2,127.9,2910375,-75,75,42525,33975,Y,96150,N,0.33,75.25,9483750,2100,450,42225,62325,N,97125,Y,-0.85,49660.4,22920,-90,-150,11670,-5550,YES,3930,N,2.86
02-12-2025 13:55,23107,155775,-225,375,39450,-18300,Y,40050,N,0.92,23132.9,23107,107.65,5069475,0,300,43050,89850,Y,19125,N,0.25,86.8,13713600,825,-1350,48975,-119925,Y,-213675,YES,-0.72,49590,40410,30,210,15570,-11010,YES,-11790,Y,3.2
02-12-2025 14:00,23115,101100,-75,0,41775,9375,Y,23025,N,0.49,23107,23115,113.1,4731750,375,75,44100,139800,Y,131400,YES,0.08,80.75,9381300,225,-1650,45225,46125,YES,194175,Y,-0.37,49620,16320,0,120,13680,1680,N,25260,YES,1.05
02-12-2025 14:05,23056.05,153375,75,-225,40050,-32550,YES,33825,N,0.45,23115,23056.05,88.3,7412325,-1050,-600,41250,-190050,YES,73500,N,-0.02,109.15,14185500,-6225,300,49125,207675,YES,-593550,YES,-0.27,49433.75,55350,150,210,15210,-36210,YES,11490,N,1.23
02-12-2025 14:10,23104.2,125625,75,-450,46650,15300,Y,300,Y,0.18,23056.95,23104.2,104.55,5726325,1125,75,42825,403575,Y,-102450,Y,-0.11,86.25,9268800,1350,-375,41625,-336225,Y,332100,Y,-0.06,49528.05,26880,60,-30,12540,5490,Y,19200,N,0.29
02-12-2025 14:15,23101,49275,41400,2100,35400,127725,Y,1875,N,0.18,23100,23101,104.8,4979850,0,150,43800,533475,Y,80025,YES,0,86.75,6250050,-1200,-300,42450,81000,YES,86325,N,-0.15,49530.15,10260,30,-210,10230,12270,N,3360,N,0.22
02-12-2025 14:20,23094.05,105375,-41175,375,34200,-58125,YES,23700,YES,0.48,23101,23094.05,100.35,5589900,-900,1275,43200,807750,Y,13800,N,0.08,90.85,8724375,-75,75,41925,-68625,Y,15450,N,-0.3,49495.05,13890,-150,0,10530,-6000,YES,7830,N,0.49
02-12-2025 14:25,23106,61500,75,0,26925,11025,Y,23325,N,0.2,23094.05,23106,108.55,4205325,0,150,39525,-1264875,YES,-49275,Y,0.01,82.35,7030050,-1125,-600,47325,-42225,YES,158325,Y,-0.16,49552.35,15330,0,0,10560,-24510,YES,15480,N,0.35
02-12-2025 14:30,23083.2,43875,-75,-525,31425,60600,Y,-83175,Y,0.08,23106,23083.2,99.45,4239000,600,600,43200,-78300,Y,102825,YES,-0.05,94.8,7631775,375,525,48225,-46950,Y,-191775,YES,-0.05,49499.8,6510,-90,0,8310,2970,Y,-9780,Y,0.13
02-12-2025 14:35,23085,90225,-375,0,29325,7800,N,2700,YES,0.09,23081.65,23085,104.6,4121850,-300,-825,43575,-19500,Y,-77400,Y,-0.05,92.15,6657675,150,0,47700,381825,YES,-59400,Y,0,49500,12750,30,90,9270,-10530,YES,-6960,N,0.11
02-12-2025 14:40,23096.8,91350,300,-75,34650,29925,Y,-6825,Y,0.34,23083.75,23096.8,105,5788950,-450,-300,42825,-106800,YES,-69000,N,0.13,86.8,7172250,-300,0,50025,-44100,Y,117375,Y,-0.23,49520,15450,150,0,10320,-11520,YES,990,N,0.6
02-12-2025 14:45,23083,31650,-300,150,30525,-12975,YES,-48900,Y,0.06,23096.8,23083,95.95,4808925,-300,900,41850,49275,Y,187725,YES,-0.08,89.3,5122350,900,2250,53175,76425,YES,-14250,YES,-0.09,49515.25,7740,30,-240,10050,-2220,N,-45990,Y,0.21
02-12-2025 14:50,23085.85,34725,-375,0,29400,-2925,N,-31800,N,0.03,23081.5,23085.85,93.75,5732250,525,300,44475,-46200,YES,70725,N,-0.22,82.4,5631375,900,-600,45975,-11250,Y,13800,Y,-0.1,49559.75,6840,-180,210,10380,900,N,-16980,YES,0.21
02-12-2025 14:55,23087.15,48075,75,75,28425,-21825,YES,3300,YES,0.13,23085.85,23087.15,90,6410550,-300,1725,42225,-131400,YES,4875,N,-0.18,82.5,5953950,2025,-1875,52575,-117525,Y,-59625,YES,-0.22,49590,18630,180,-210,12330,-630,YES,360,N,1.03
02-12-2025 15:00,23113.95,119700,225,-150,34350,14325,Y,-24000,Y,0.43,23086.55,23113.95,104.3,8449725,75,375,43500,227925,Y,-164025,Y,-0.12,65.9,8358000,975,-1875,64200,-114600,N,81150,Y,-0.47,49645,18930,-120,30,12300,-6030,YES,14100,N,1.5
02-12-2025 15:05,23124.65,127200,-825,-7500,37575,-15075,YES,-16575,N,0.77,23114,23124.65,112.5,9015300,-300,0,40575,-161850,YES,-101475,YES,0.27,64.9,7531425,3000,-1650,51975,-26400,YES,-83325,YES,-0.55,49670,19530,180,-30,11580,21870,Y,-17250,Y,1.87
02-12-2025 15:10,23130.25,103650,0,375,34200,-59100,YES,2550,N,0.63,23125,23130.25,114.5,3564450,225,-1275,41250,-65700,Y,-70350,YES,0.09,63.05,3798825,-750,375,47475,18825,YES,-37275,Y,-0.26,49740.4,21930,0,-180,11610,-3240,YES,-2790,N,2.47
02-12-2025 15:15,23123.3,125700,75,0,36375,-29625,Y,-8700,Y,0.77,23131.6,23123.3,114.2,3767925,0,-600,52500,-100200,YES,-7350,YES,0.12,65.8,4244775,-375,750,47775,-64350,Y,-176100,YES,-0.29,49731.2,33570,210,0,13650,-12390,YES,8400,N,4.23
02-12-2025 15:20,23130.95,92700,525,375,30150,-4725,Y,-26850,Y,0.56,23123.3,23130.95,119.5,2598750,450,-75,42375,-134475,YES,-149700,Y,0.09,62.15,3651225,525,-375,50925,-550425,Y,-71550,Y,-0.27,49740.2,37050,0,-30,14460,-5130,N,-1290,Y,4.6
02-12-2025 15:25,23132,152775,-75,-450,35400,-97725,YES,-91500,Y,0.91,23130.9,23132,118,2686275,-600,-300,52800,-912150,YES,-225900,Y,0.07,57.6,3685950,150,750,53925,-955425,Y,-282375,YES,-0.27,49735,23550,90,60,13710,-30090,YES,-27360,Y,2.75
