last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-01-2025 10:05,23304,168600,-25,-1000,18075,-68125,YES,6950,N,-10.21,23330,23304,-9.2,3060375,-375,-150,-9.25,-9.25,43200,-5550,YES,76200,YES,-1.69,10.8,1800150,-150,75,10.55,10.9,42450,-81825,Y,-49125,YES,2.37,-78.7,38670,-360,135,-78.7,-83.2,9840,-15930,N,3420,N,-16.96
21-01-2025 10:10,23304.15,102425,100,1100,19050,14800,Y,-5225,Y,-5.56,23308.4,23304.15,1.6,2176425,1125,-1875,1.25,1.25,43350,38775,Y,55275,N,-1.27,1.2,1228425,-450,-75,1.65,1.4,40350,-21975,YES,16350,Y,1.69,27.3,40620,75,-135,27.75,26,8550,-1710,N,-960,Y,-19.27
21-01-2025 10:15,23270,241275,50,50,22200,44575,Y,2725,N,-14.8,23301.3,23270,-5.75,2641350,-525,675,-5.35,-5.35,48225,-40875,YES,45675,N,-1.65,29.4,1472400,150,-150,28.2,28.25,40575,-60900,Y,-82725,YES,2.55,-53.65,78150,75,-15,-52.4,-60.85,8535,1755,N,-12375,Y,-34.47
21-01-2025 10:20,23188.15,311275,75,50,16675,10625,N,87175,YES,-21.99,23265.75,23188.15,-11.2,3741825,75,-225,-10.7,-10.65,47325,-138300,YES,-23100,Y,-2.67,66.35,1808550,-225,975,65.4,65.15,44475,-6675,YES,-56850,Y,4.68,-153.8,70110,60,-15,-144.75,-137.6,9750,-3615,YES,3120,N,-35.28
21-01-2025 10:25,23187.05,262775,75,-25,22850,30175,N,147550,YES,-15.45,23190,23187.05,0.95,2367900,-75,-525,1,0.95,43350,60000,Y,-5250,N,-1.57,5.85,879750,75,0,7.1,7.05,41025,-28725,Y,675,Y,2.55,-37.2,34770,180,45,-21.6,-36.85,8730,9945,N,30735,YES,-16.53
21-01-2025 10:30,23209,142025,11050,-50,20425,35250,N,17875,N,-7.08,23185.05,23209,2.95,1581675,525,750,2.9,3.05,43950,93000,Y,29250,YES,-0.93,-15.5,480825,300,300,-15.95,-15.95,47775,-22350,N,39000,Y,1.36,55.6,24915,15,75,53.3,56.35,7320,33120,Y,5895,N,-11.11
21-01-2025 10:35,23236,110075,225,-50,21300,26975,N,-69975,Y,-3.95,23205.25,23236,1.2,1712625,0,0,1.1,1.1,46800,-11325,YES,69600,YES,-0.9,-33.45,557625,-1200,0,-31.55,-31.7,46200,-29550,Y,-4275,YES,1.34,107.4,23715,-105,-45,95.35,87.2,8475,-1500,YES,945,Y,-7.6
21-01-2025 10:40,23225.35,56575,-150,150,17675,1800,YES,16150,YES,-1.75,23242.1,23225.35,0.3,1475850,-600,825,0.3,0.35,45675,-25350,YES,-76575,Y,-0.71,14.15,369975,150,75,13.05,13.1,41850,25800,YES,-7950,YES,0.81,-65.45,14685,90,-30,-55.1,-65.4,8070,2865,N,4635,N,-3.96
21-01-2025 10:45,23243.95,113625,0,50,19850,3325,N,-750,Y,-3.74,23221.55,23243.95,5.7,1493850,300,-75,5.65,5.75,44700,16650,Y,-52050,YES,-0.66,-14.3,374625,450,-225,-14.55,-14.1,39375,-20700,Y,-225,N,0.85,25.75,13155,-105,60,24.9,29.9,7620,3435,N,810,Y,-4
21-01-2025 10:50,23230.75,55250,-25,-150,15425,14125,N,-10900,Y,-1.3,23241.8,23230.75,-0.45,1561200,-75,-1050,-1.7,-1.75,44175,4200,N,13275,YES,-0.56,8.6,315075,-225,-150,10.05,10.1,40050,-3750,N,-375,YES,0.65,-21.85,8835,105,30,-23.2,-19.75,7170,-1455,YES,-2520,Y,-2.5
21-01-2025 10:55,23204.15,34225,125,50,14375,15925,N,93350,YES,-0.99,23235.45,23204.15,-8.35,1356075,750,3000,-8,-7.95,45300,-91500,YES,59550,YES,-0.56,17.95,385875,-225,375,15.55,15.15,42075,9675,N,-15150,YES,0.85,-105,14640,-60,105,-81.15,-84.4,8565,-26865,YES,9795,N,-5.05
21-01-2025 11:00,23205.95,62525,0,50,15000,48625,Y,2900,Y,-2.23,23204.25,23205.95,0.75,1830300,2100,-1650,0.45,0.4,47850,29775,Y,68925,N,-0.93,-5,360375,-150,0,-4.75,-4.95,38025,-19800,Y,28575,Y,0.87,-10,34635,105,-150,-9,-5.8,8430,20580,Y,6315,N,-14.18
21-01-2025 11:05,23192,52375,375,475,12575,-10725,YES,7075,N,-1.92,23210.8,23192,-4.95,1460100,1125,825,-4.95,-4.9,47700,6975,N,102150,YES,-0.72,16.65,321900,0,-150,14.95,15,42600,-8250,N,-6450,YES,0.8,-39.95,21120,-105,30,-31.8,-30,7200,-4050,YES,4050,N,-8.4
21-01-2025 11:10,23203,75400,100,125,14050,15350,Y,29250,YES,-2.95,23187.75,23203,1.3,1209450,-750,1500,1.45,1.45,49875,4725,N,-8400,Y,-0.61,-10.8,260175,300,-300,-11.35,-11.2,38400,-9375,Y,20325,Y,0.68,32.8,17535,45,-75,33.8,32.05,7620,-1575,N,1215,Y,-6.81
21-01-2025 11:15,23207.95,41700,-200,-175,17975,-68775,YES,-2850,Y,-1.26,23202.65,23207.95,-0.35,1001100,975,-150,-0.45,-0.35,44325,48075,Y,34050,YES,-0.47,-6.55,286650,75,-150,-6.05,-6.05,39150,3900,N,-4650,YES,0.67,5.3,9900,-15,30,9.2,13.05,8880,3150,N,11640,N,-3.46
21-01-2025 11:20,23204,13550,400,200,10950,-750,Y,98800,YES,-0.41,23208,23204,-0.25,577800,-225,-1425,-0.25,-0.3,46050,4950,N,15300,N,-0.28,5.25,139650,0,0,3.6,3.9,42000,-4800,Y,-675,N,0.33,-14.2,8535,120,-45,-3,-10,6180,35730,Y,-2265,Y,-2.89
21-01-2025 11:25,23182.75,35900,-400,25,12600,18500,N,-7200,Y,-1.19,23204,23182.75,-3.25,1067100,1425,2250,-3.05,-3,49875,-58425,YES,7125,N,-0.51,12.8,202200,0,-75,12.25,12.15,37650,-6450,Y,-5700,YES,0.5,-53,13800,-120,-15,-53,-47.6,7230,-1770,YES,-3030,Y,-5.17
21-01-2025 11:30,23205,48550,-350,125,17300,5850,N,5850,N,-1.5,23184,23205,3.2,1144125,-7425,2025,3.45,3.6,49350,59175,Y,-52725,Y,-0.51,-15.75,253125,225,1425,-17.15,-17.55,40725,-6000,N,12825,N,0.58,62.25,18570,-885,-30,63.1,66.4,11850,3345,N,-960,N,-5.95
