last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
02-01-2025 10:05,23626.65,89025,300,300,26475,8625,N,8475,N,1.51,23634.45,23626.65,23663.15,23613,224.1,1597050,75,0,37425,14250,N,41775,YES,0.53,237.3,858375,225,-375,34425,4125,N,17025,N,-1.62,49945,19440,0,180,16140,10110,N,2700,Y,4.72
02-01-2025 10:10,23633,28725,-225,-150,24900,9000,N,2025,Y,0.26,23626.25,23633,23633.15,23622,226.8,615150,0,0,38325,12900,N,16500,N,0,234.25,397200,375,0,35400,8250,N,16050,N,-0.51,49955,8400,90,-180,8730,1230,YES,1710,Y,1.83
02-01-2025 10:15,23645.6,41700,-4500,75,27225,10425,N,5025,N,0.82,23635.9,23645.6,23654,23631.25,232.7,909225,75,-150,34575,99075,Y,-39375,Y,0.29,225.25,625950,0,150,35325,369450,YES,9525,N,-1.4,49995,14760,180,60,11070,7680,N,-14970,Y,4.19
02-01-2025 10:20,23647.35,31275,975,-225,23550,-4950,YES,217725,YES,0.5,23642.3,23647.35,23648.95,23625,228.75,1086450,-75,75,34800,141750,Y,44925,YES,0.14,221.65,631425,300,-375,38550,27600,N,3600,N,-1.43,49995,17970,30,-60,12330,1860,YES,1860,N,5.65
02-01-2025 10:25,23645,35850,0,0,24675,4875,N,15975,N,0.74,23647.45,23645,23654.95,23635,228.4,547650,75,300,35400,39525,N,-1650,Y,0.12,220.2,488925,-1050,-75,34725,-300,Y,15750,N,-1.19,49985.05,15960,60,0,10860,-3000,YES,-4830,Y,4.66
02-01-2025 10:30,23647,28800,0,450,27000,13350,N,8850,N,0.56,23645,23647,23650,23640,229.95,510525,225,0,33900,10125,N,7950,N,0.11,223.9,384600,-75,-150,35250,13500,N,8100,N,-0.8,49989.85,9720,-30,690,9270,3360,N,13770,N,2.18
02-01-2025 10:35,23637.1,43875,0,375,31950,12450,N,-1200,Y,0.73,23647,23637.1,23649.25,23636.85,226.5,434700,-150,375,34950,-19050,YES,30825,YES,0.05,225.05,299625,-150,-150,31800,6150,N,-9600,YES,-0.52,49983.75,5280,0,-630,12600,3180,N,1620,Y,1.17
02-01-2025 10:40,23652.15,70425,-600,525,28800,9600,N,10350,N,2.03,23642.65,23652.15,23675,23638.05,236.15,1961775,1500,-75,37200,8400,Y,-133200,Y,1.27,219.5,1196175,225,75,37950,6825,N,29325,Y,-2.76,50021,28560,-60,-30,14400,2040,YES,-3270,Y,8.2
02-01-2025 10:45,23661,43200,2475,2400,28875,27150,N,31500,YES,0.95,23652.15,23661,23664,23645.6,238.6,889800,525,-150,39450,89400,Y,61650,YES,0.44,215.35,591600,-225,-150,34650,29175,YES,-4575,YES,-1.02,50014.05,7320,30,30,11490,3450,N,4680,N,2.06
02-01-2025 10:50,23667.95,59325,-2475,-150,33600,-3075,YES,-38700,Y,1.5,23662,23667.95,23668.75,23655.3,241.45,678600,-450,-150,35850,-18000,YES,-20700,Y,0.37,205.25,595425,-75,-150,32925,-21000,Y,13125,N,-1.27,50017.75,10170,0,0,10770,570,YES,10650,N,2.45
