last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2025-02-18 14:05:00,108.7,3437100.0,-525.0,525.0,39525,-23700.0,Y,119025.0,Y,-0.5700000000000216
2025-02-18 14:10:00,160.9,1002825.0,-1575.0,-525.0,44625,14475.0,YES,9375.0,N,-0.5900000000000034
2025-02-18 14:15:00,159.65,764925.0,-750.0,-1200.0,42150,3150.0,N,6450.0,N,-0.3699999999999761
2025-02-18 14:20:00,153.1,617100.0,-600.0,1050.0,49050,27300.0,YES,17700.0,N,-0.35000000000002274
2025-02-18 14:25:00,139.8,1116075.0,75.0,0.0,48300,-116625.0,Y,19875.0,N,-0.7199999999999989
2025-02-18 14:30:00,153.7,1571625.0,750.0,-75.0,48000,161550.0,YES,-31500.0,YES,-0.9499999999999886
2025-02-18 14:35:00,142.4,804375.0,-150.0,-75.0,40575,-4350.0,Y,13200.0,Y,-0.46999999999999886
2025-02-18 14:40:00,139.35,996675.0,-600.0,300.0,48900,-20925.0,Y,40275.0,Y,-0.6800000000000068
2025-02-18 14:45:00,133.65,1061175.0,1650.0,-1575.0,43125,-46200.0,Y,24675.0,N,-0.7300000000000182
2025-02-18 14:50:00,137.8,1403250.0,-150.0,1350.0,50625,56775.0,YES,9825.0,N,-0.9900000000000091
2025-02-18 14:55:00,137.9,1806900.0,300.0,450.0,48300,-12900.0,Y,-28425.0,YES,-1.039999999999992
2025-02-18 15:00:00,142.1,1761000.0,150.0,150.0,43650,46875.0,YES,-12150.0,N,-1.1899999999999977
2025-02-18 15:05:00,139.5,1202025.0,2925.0,-1725.0,43050,-33975.0,Y,-8400.0,N,-0.6899999999999977
2025-02-18 15:10:00,146.35,1102500.0,1350.0,1050.0,45300,-4275.0,YES,-64500.0,YES,-0.5900000000000034
2025-02-18 15:15:00,152.3,1602675.0,300.0,2475.0,52050,-42375.0,Y,-35175.0,Y,-0.6500000000000057
2025-02-18 15:20:00,154.65,933300.0,225.0,-1275.0,51450,-19125.0,YES,-51000.0,YES,-0.3300000000000125
2025-02-18 15:25:00,156.75,790500.0,1725.0,-375.0,58800,-234825.0,Y,-91050.0,YES,-0.27000000000001023
