last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
2024-10-24 14:15:00,108.6,1648575.0,-475.0,275.0,34300,-126375.0,Y,350.0,N,0.01999999999999602
2024-10-24 14:20:00,120.95,3023725.0,-1025.0,-50.0,41050,-454875.0,Y,-127200.0,YES,0.18999999999999773
2024-10-24 14:25:00,110.7,2356425.0,-75.0,-125.0,33725,-346000.0,YES,114650.0,Y,0.11000000000001364
2024-10-24 14:30:00,109.2,1856350.0,675.0,-350.0,30300,-638475.0,Y,1425.0,YES,-0.030000000000001137
2024-10-24 14:35:00,101.35,1088975.0,-825.0,-125.0,32150,-505450.0,YES,35100.0,Y,-0.009999999999990905
2024-10-24 14:40:00,103.0,1864200.0,-1425.0,1450.0,41300,-100550.0,YES,-55350.0,YES,-0.05000000000001137
2024-10-24 14:45:00,100.05,1296775.0,675.0,0.0,44850,-775925.0,Y,25500.0,Y,-0.03999999999999204
2024-10-24 14:50:00,101.0,1027200.0,975.0,325.0,40175,-975250.0,Y,6025.0,N,-0.04000000000000625
2024-10-24 14:55:00,100.9,714225.0,950.0,-50.0,33925,-2464125.0,Y,-30275.0,YES,-0.01999999999999602
2024-10-24 15:00:00,96.75,2129200.0,250.0,-75.0,35325,-4613975.0,Y,-5150.0,Y,-0.12999999999999545
2024-10-24 15:05:00,98.25,2038525.0,325.0,525.0,34875,-2785500.0,YES,-51850.0,YES,-0.12000000000000455
2024-10-24 15:10:00,100.2,1107875.0,500.0,-550.0,35400,-1279500.0,YES,-95325.0,YES,-0.03999999999999204
2024-10-24 15:15:00,98.9,1069275.0,200.0,-650.0,44000,-1258175.0,YES,-57625.0,Y,-0.04999999999999716
2024-10-24 15:20:00,99.95,1061875.0,-500.0,1100.0,51400,-1290550.0,Y,-115675.0,YES,-0.04000000000000625
2024-10-24 15:25:00,100.35,869600.0,23625.0,250.0,48550,-14273500.0,Y,-109550.0,N,-0.03999999999999204
