last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
10-01-2025 12:25,2.1,-38250,75,0,7.35,9.75,17200,7175,Y,10300,N,-0.19,-5.15,1585200,375,-75,-5.55,-5.5,43500,52425,Y,56775,N,-0.17,3.8,968850,600,75,4.3,4.45,42375,-2850,Y,1350,Y,-0.2,-13.65,-10605,-225,0,-14.5,-14.2,8040,-3300,YES,-21330,Y,0.92
10-01-2025 12:30,12.15,-39250,0,25,8.2,10.3,18425,-7250,YES,61750,YES,-0.14,-2.85,1615800,0,-150,-2.5,-2.7,41850,-9225,YES,-19500,Y,-0.2,4.7,886425,750,450,3.4,3.55,43350,-8625,Y,-17475,YES,-0.13,39.7,-13665,0,0,36.8,35,5910,5085,N,-4470,N,1.22
10-01-2025 12:35,-1.7,-32825,0,-25,0.25,-0.35,17550,-4975,N,-59250,Y,-0.08,0.15,1129875,75,600,0,0.15,43200,49725,Y,60075,YES,-0.16,-1.1,638025,-375,-1125,-0.8,-0.8,41625,-2475,N,19875,Y,-0.06,5.25,-9210,-45,0,-5.2,-4.75,6435,-7020,YES,-1380,N,0.92
10-01-2025 12:40,-31.25,-33825,-25,50,-29.6,-26.05,14225,16325,Y,8800,YES,-0.22,11.8,1484850,-825,1275,12.15,12,40425,-4950,YES,-54525,Y,-0.1,-16.3,791025,600,-150,-16.35,-16.5,37500,-10500,Y,26475,N,-0.23,-56.05,-11295,30,-255,-44.5,-42.5,5535,2340,N,2265,N,0.77
10-01-2025 12:45,-14.65,-29250,125,-1550,-12.75,-10,12800,3700,N,8250,N,-0.25,4.8,1714125,900,525,4.95,4.95,48525,-9900,YES,-46425,N,-0.07,-5.9,789450,-750,0,-5.3,-5.3,47475,-13875,Y,-2925,YES,-0.28,-32,-10035,-930,225,-40.55,-35.1,5445,-12750,YES,12825,N,0.57
10-01-2025 12:50,7.15,-22400,-25,-75,8.65,7,13475,-5425,YES,46450,YES,-0.19,-4.15,1410750,750,-150,-3.5,-3.35,46875,41850,Y,52050,YES,-0.06,4.6,575100,600,-225,3.45,3.5,43200,35400,YES,13650,N,-0.2,30,-9600,420,-15,30,27.45,5820,-3765,N,-3450,Y,0.56
10-01-2025 12:55,14.6,-24500,75,0,19.65,14.35,11525,8350,N,-45550,Y,-0.2,-9.4,1322550,-300,-750,-7.8,-7.85,47100,-33375,YES,29925,N,-0.06,10.1,618000,-1050,300,9.6,9.6,40425,5325,N,-23250,YES,-0.18,92.15,-10995,30,-15,75.2,78.65,6060,1725,N,-2685,N,1.07
10-01-2025 13:00,3.8,-18675,225,-75,2.7,2.95,13600,-71625,YES,4125,YES,-0.1,-1.75,1033125,-75,-150,-1.55,-1.7,46350,17400,Y,50175,YES,-0.09,1.9,653025,-150,-75,1.85,1.8,41175,-8100,Y,3900,Y,-0.14,3.85,-12060,-30,45,-5.8,3.8,5865,-90,YES,1575,N,1.35
10-01-2025 13:05,-5,-8875,50,725,-6.8,-3.2,10325,-3150,Y,-1050,Y,-0.06,1.4,720075,-150,600,1.75,1.75,48075,38025,Y,12900,N,-0.06,-3.7,406050,0,-150,-3.95,-4.05,38100,2700,N,1800,YES,-0.1,-27.4,-8190,0,-15,-28,-27.45,7050,-6465,YES,-12750,Y,0.81
10-01-2025 13:10,10.45,-13600,-75,-50,7.5,10.45,11700,39300,Y,-3925,Y,-0.06,-5.1,1044825,-525,150,-3.55,-3.5,46575,-6375,YES,49575,YES,-0.11,7.25,567225,0,-300,4.9,4.85,42000,6225,N,-19500,YES,-0.11,43.75,-19800,-15,60,41.25,35.45,6675,-1020,N,1350,N,2.24
10-01-2025 13:15,-8,-27775,-1600,50,-8,-10.2,13300,-14025,YES,-2325,N,-0.11,4.9,981000,-75,975,4.55,4.7,40650,-225,N,-21975,Y,-0.11,-5.85,569550,-5400,0,-5.1,-4.95,42825,-24900,Y,15225,Y,-0.07,-12.5,-29790,75,30,-10,-11.05,7365,-1800,YES,-3765,Y,3.84
10-01-2025 13:20,2,-11775,1400,-75,2,1.45,12375,-2575,N,11275,N,-0.06,-1,598350,525,-1650,-1.75,-1.75,43500,-5625,YES,15300,YES,-0.07,-0.85,308850,300,-675,-0.15,-0.15,44775,6975,YES,5400,N,-0.05,-30,-7755,390,-15,-19.75,-22.6,4830,-2400,YES,240,N,0.8
10-01-2025 13:25,21.45,-40500,-75,-175,19.45,21,14300,-53250,YES,3325,N,-0.1,-9.7,1816575,75,0,-10.3,-10.35,40800,-54600,YES,-10650,Y,-0.24,12.65,1062750,-225,675,13.45,13.5,39300,-1650,Y,-52500,YES,-0.14,51.8,-17700,45,150,54.9,54.35,6540,5790,N,-3060,Y,1.52
10-01-2025 13:30,7,-8150,-100,100,5.15,6.25,5550,-3100,Y,7900,N,0,3.85,1121175,-75,-450,2.55,2.55,41625,42675,Y,22425,YES,-0.19,-11.9,755925,-375,-75,-9.35,-9.55,41400,9225,N,51450,Y,0.03,10.9,-2520,30,-30,1.6,10.95,1950,-3405,YES,-135,N,0.34
10-01-2025 13:35,2.15,-16600,-5225,25,2.15,2.2,13500,575,N,1850,Y,-0.01,-4.6,639075,-75,300,-3.6,-3.55,44850,5250,N,20775,N,-0.12,2.4,399750,150,150,1.4,1.45,42000,-7200,Y,4575,N,-0.01,-0.2,-8265,-30,-30,-1.65,-8,5700,510,N,-1740,Y,1.09
10-01-2025 13:40,-7.9,-25900,-175,0,-9.3,-13.35,12200,-6950,YES,4175,N,0.03,6.15,1593300,-600,1950,5.9,5.85,46425,28725,Y,-74925,Y,-0.31,-9.2,852600,75,-2025,-8.35,-8.4,39825,-29025,Y,21150,N,0.01,-24.85,-16485,6240,-225,-25,-23.65,5955,8610,N,75,N,2.22
10-01-2025 13:45,-20.25,-23600,-100,-75,-16,-15.6,12000,-15650,YES,5975,N,-0.1,6.05,1425300,375,-375,6.15,6.15,46800,1875,YES,-31125,YES,-0.17,-8.85,726975,-150,150,-9,-9,41400,-9450,N,10350,N,-0.11,-23.65,-11580,15,0,-14.7,-22.55,6420,-23250,YES,23145,YES,1.16
10-01-2025 13:50,17.3,-16325,250,-25,12.3,14.6,12875,9925,Y,-3400,Y,-0.07,-5.4,1207575,600,-1725,-5.25,-5.3,44775,19275,N,36300,YES,-0.14,4.95,503400,225,300,5.05,5.1,42900,25875,YES,8475,N,-0.09,19.1,-7350,-30,15,17.15,19.1,5640,2835,Y,-15705,Y,0.75
10-01-2025 13:55,-11,-12975,0,-425,-9.7,-9.7,10725,-5050,YES,-5675,Y,-0.03,6.3,783900,75,-525,5.05,5.05,45375,29025,N,-21375,Y,-0.1,-8.5,299475,600,300,-7.1,-6.9,43800,-23250,Y,21525,N,-0.04,-30.15,-13935,0,0,-20.2,-27.1,9165,-7380,YES,315,N,1.47
10-01-2025 14:00,21.35,-16575,25,-50,20.15,16.7,10150,2225,N,13225,N,-0.02,-9.1,1323825,1650,75,-9.3,-9.2,43275,-22125,YES,27150,YES,-0.2,14.7,698400,-825,0,13.9,13.85,35475,-1125,YES,-33225,YES,-0.06,77,-12795,0,0,64.5,68.65,6375,7395,N,-9735,Y,1.4
10-01-2025 14:05,13.95,-24350,-125,-50,7.7,11.2,12825,-42975,YES,-1825,Y,0.03,-4.55,1106175,300,75,-4.8,-4.75,43575,66825,Y,52650,YES,-0.21,7.6,724350,150,675,7.35,7.45,39300,17400,N,10950,Y,0.05,-5.6,-15705,-15,30,7.25,3.45,5505,945,YES,-105,N,2.31
10-01-2025 14:10,45.9,-180400,475,-75,48.85,51.7,18225,69325,Y,-35650,Y,1.47,-18.05,2684250,-150,0,-18.05,-18.1,46050,-110925,YES,26475,N,-0.74,35.8,1851450,-675,150,35.5,35.6,41475,-1125,Y,-127425,YES,0.71,95.15,-44745,0,0,106.85,99.8,7335,10230,N,5130,N,7.87
10-01-2025 14:15,10.95,-148200,600,25,10.25,8.25,19100,-28725,YES,-125500,Y,1.71,-4.6,2199000,-375,75,-4.3,-4.4,48375,-44775,Y,-8025,Y,-0.72,2.35,1138050,75,-525,2.5,2.5,41025,-35925,Y,-47400,Y,0.67,0,-24525,45,15,-12.8,-3.35,8730,6675,N,-7110,Y,4.44
10-01-2025 14:20,11.05,-52525,-850,50,15.05,15.85,16750,-20775,N,221900,YES,0.68,-4.7,1762050,375,300,-4.6,-4.55,49425,18375,Y,16125,YES,-0.62,10,833400,-150,225,9.95,9.9,39225,-1575,YES,-6150,Y,0.54,62.4,-24285,15,60,60,59.65,8670,1785,YES,6600,N,4.6
10-01-2025 14:25,-14,-81050,-525,75,-15.55,-14,19000,925,Y,-6975,Y,1.17,5.8,2061000,-1050,1425,6.5,6.5,50175,45975,Y,-5025,Y,-0.72,-11,886500,675,450,-10.55,-10.7,40650,-43800,Y,-525,N,0.64,28.85,-61410,0,-90,25.05,17.25,8790,9495,N,3825,N,14.57
10-01-2025 14:30,15,-63800,675,275,11.2,12,15800,-18200,YES,6250,N,0.78,-4.25,1371825,-1050,1200,-4.45,-4.5,46125,18750,N,43200,YES,-0.44,4.35,510525,-225,-1425,4.2,4.15,41550,5250,YES,19725,Y,0.3,-7.45,-17595,-105,45,-7.9,-2.9,8475,-3135,YES,-5775,Y,3.68
10-01-2025 14:35,15.8,-67775,-350,-500,17,12.35,14775,9650,Y,-23850,Y,0.96,-5,1305000,2325,-1575,-5,-4.95,45075,-41475,YES,18525,N,-0.46,13.35,482175,300,-150,14,13.95,40500,25950,YES,-30975,YES,0.33,63.85,-22530,0,0,73.1,67.15,9345,4005,N,-12045,Y,4.78
