last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
13-12-2024 10:05,24408,92175,-25,125,13250,-25875,YES,-2850,N,-2.63,24453.7,24408,69.7,1228125,300,-225,26325,-125375,YES,64525,N,-1.58,13-12-2024 10:05,309.9,374075,-75,-75,21075,3525,N,-53750,YES,1.77,13-12-2024 10:05,52834.95,18330,-15,-30,9180,-4800,YES,4515,N,-3.17,52933.15,52834.95
13-12-2024 10:10,24403.25,186900,-25,-250,17400,-1450,Y,-7200,Y,-7.17,24406.8,24403.25,69.25,1264325,625,25,28125,83225,Y,21775,N,-1.85,13-12-2024 10:10,312.1,286850,350,75,30050,-12400,Y,-800,Y,1.9,13-12-2024 10:10,52795,51120,330,135,10755,900,N,2655,Y,-13.77,52832.45,52795
13-12-2024 10:15,24357,330225,25,-25,16375,-47775,YES,-13950,Y,-15.23,24403.05,24357,63.85,2214700,975,-1350,29500,19525,N,-17525,Y,-3.32,13-12-2024 10:15,356.45,467050,-150,550,24750,-13300,Y,-14700,YES,4.5,13-12-2024 10:15,52739.5,93945,15,-15,8685,-4335,YES,-19560,Y,-28.21,52795,52739.5
13-12-2024 10:20,24306.05,400550,75,350,18550,-67625,YES,171125,YES,-19.41,24351.15,24306.05,60.25,1901925,1250,-300,35525,-10850,YES,40425,YES,-2.63,13-12-2024 10:20,402.05,361475,325,150,28550,-15075,Y,-8475,N,4.98,13-12-2024 10:20,52659.95,62685,15,30,10335,-19920,YES,45,N,-19.51,52733.6,52659.95
13-12-2024 10:25,24310.1,187125,-25,-425,16250,16250,Y,-1525,Y,-7.86,24304.2,24310.1,62.3,938275,400,-700,31650,5775,N,34475,N,-1.08,13-12-2024 10:25,399.9,201500,125,50,30650,-5925,N,10100,N,2.74,13-12-2024 10:25,52630,38340,-360,105,8235,-1620,N,-4305,Y,-11.31,52650,52630
13-12-2024 10:30,24265.65,335475,375,175,18525,67475,Y,25825,YES,-16.45,24312.95,24265.65,58.5,1831875,-250,-1075,30700,-6300,YES,-23075,Y,-2.07,13-12-2024 10:30,444.2,291250,-150,-275,26675,-11475,Y,-5825,YES,4.88,13-12-2024 10:30,52474.35,112980,-900,-225,10935,-10140,YES,2055,N,-41.38,52630,52474.35
13-12-2024 10:35,24261.65,153075,-325,6075,17750,39225,N,34100,N,-6.25,24266.25,24261.65,59.7,921175,-350,1250,29750,51400,Y,35500,YES,-0.9,13-12-2024 10:35,442.6,94625,-25,-250,25250,2775,N,4600,N,1.57,13-12-2024 10:35,52460,43620,210,15,9645,33240,Y,-7500,Y,-15,52470,52460
13-12-2024 10:40,24285,109500,-75,-5975,14775,15875,N,25025,N,-4.43,24261.65,24285,62.25,801775,-500,2225,33400,31700,N,10400,N,-0.71,13-12-2024 10:40,428.3,165550,-275,425,35125,-1125,Y,3625,N,2.81,13-12-2024 10:40,52507.75,48870,-30,-15,8340,10050,N,1485,N,-16.14,52460,52507.75
13-12-2024 10:45,24268.6,118825,725,-225,14975,-1375,YES,14200,N,-4.83,24285,24268.6,59.8,1258500,450,325,39900,-5350,YES,-5275,Y,-1.15,13-12-2024 10:45,442.25,113675,-600,-25,22800,-125,N,-2200,YES,1.99,13-12-2024 10:45,52457.5,58245,-90,15,8880,375,YES,-2895,Y,-19.74,52505.45,52457.5
13-12-2024 10:50,24280.05,107750,-800,-25,15225,17575,N,13900,N,-3.24,24268.6,24280.05,61.95,899425,225,850,37875,7725,N,-8075,Y,-0.64,13-12-2024 10:50,435.15,120600,75,175,21925,142525,YES,3850,N,1.75,13-12-2024 10:50,52458.6,37755,0,-120,8790,4605,N,-2955,Y,-10.49,52457.45,52458.6
