last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
19-12-2024 10:10,-24,80500,-100,1000,-24.05,-22.1,19550,6100,N,2325,N,0.14,-2.05,5116825,-625,3950,-1.95,-1.95,64900,-15850,YES,13575,N,-0.48,19.9,1441925,175,250,19.75,19.8,24550,-9675,Y,-5025,YES,-0.04,-124.9,43635,0,135,-120.6,-120.4,8235,10710,N,-5190,Y,0.63
19-12-2024 10:15,-9.1,42850,-250,-50,-9.1,-7.95,12350,-3625,YES,25,Y,-0.05,-0.85,3156550,-1000,500,-1.3,-1.35,51725,-37300,YES,3600,N,-0.33,1.5,833900,525,100,4.8,4.9,20525,7300,N,-15300,YES,0.17,-18.05,31290,0,45,-8.15,-10.65,7665,-9360,YES,8865,N,-1.61
19-12-2024 10:20,23.9,75775,150,-25,24.85,24.15,16775,1750,N,1500,N,0.48,0.45,3566625,-9350,6875,0.5,0.5,66900,43000,Y,61300,YES,-0.31,-11.9,681400,150,425,-12.15,-12.1,26600,-4475,Y,7550,Y,-0.24,65.65,28050,-30,-210,73.9,65.1,8175,7470,N,-6735,Y,0.29
19-12-2024 10:25,9.8,48275,-1475,-550,7.45,6.4,17250,-6725,YES,5850,N,0.36,0.45,4081500,-2100,-1725,0.5,0.5,70100,97175,Y,-79650,Y,-0.36,-8.3,557500,100,100,-9.4,-9.4,30850,9650,N,16525,N,-0.27,38.3,14925,0,-45,43.15,39.1,7875,19755,N,-435,N,0.71
19-12-2024 10:30,-2.4,69350,1100,0,-2.25,-2.1,18275,5000,N,3825,N,0.7,-0.15,3364050,-1425,1400,-0.1,-0.1,57150,42000,N,71825,YES,-0.25,2.2,653000,-150,300,1.35,1.25,25250,500,Y,-8025,YES,-0.48,15,19560,0,15,9.05,15.55,9510,810,YES,2370,N,1.87
19-12-2024 10:35,-4.6,31750,-1075,125,-0.9,-0.05,14625,7250,N,1825,Y,0.23,-0.6,3190800,475,325,-0.55,-0.55,68575,97900,Y,6250,N,-0.24,-3.8,560000,325,275,-3.45,-3.3,31425,6075,N,15750,Y,-0.28,-31.35,13515,0,180,-30.4,-31.35,7290,5475,N,-810,Y,1.18
19-12-2024 10:40,4.35,45700,-25,50,4.8,1.95,23250,-5650,YES,625,Y,0.47,0.15,2567625,2525,7300,0.15,0.2,69100,86825,N,26550,YES,-0.18,0.35,490350,-200,350,0.15,0.15,29600,1050,Y,250,YES,-0.34,-28.6,12135,90,-135,-21.35,-14.1,6930,1185,YES,-3375,Y,0.52
19-12-2024 10:45,-20.15,24850,125,-75,-20.65,-18.6,11750,-7875,YES,2450,N,0.15,-2.7,3460725,19050,10675,-2.5,-2.45,60125,-182550,YES,47100,YES,-0.28,11.45,544850,-125,-50,11,11.25,25075,8475,N,2900,N,-0.23,-63.85,15930,-90,0,-75.3,-78.3,5505,-8640,YES,3780,N,-0.23
19-12-2024 10:50,0.85,30025,0,0,0.8,-1.1,14550,-325,N,-1825,Y,0.06,-0.55,2796825,36200,-12375,-0.5,-0.5,61825,91500,Y,-44725,Y,-0.25,-1.95,694975,-50,1975,-2.65,-2.8,29350,4750,N,31275,Y,-0.17,32.5,14055,15,0,32.5,33.2,10050,8280,N,-1185,Y,-0.66
19-12-2024 10:55,-1.4,20675,-350,125,-2.35,-0.7,10850,8275,N,-1200,N,0.01,0.15,2316200,5975,425,0.1,0.1,66600,312750,Y,-18825,YES,-0.22,0.3,417775,-100,50,1.15,1.1,27600,-4150,Y,-12875,YES,-0.05,28,20265,0,0,13.95,22.55,10260,2880,YES,-2220,Y,-0.44
