last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
12-11-2024 10:45,24216.2,41875,-25,-75,13225,6400,Y,225,Y,-1.27,24202.9,24216.2,12-11-2024 10:45,49.3,961875,800,-1100,26875,89950,N,27975,YES,-0.45,12-11-2024 10:45,208.45,297025,-75,125,20425,-8850,Y,15925,N,0.77
12-11-2024 10:50,24214.65,23600,250,250,11550,-4325,YES,11625,N,-0.44,24216.2,24214.65,12-11-2024 10:50,48.15,895275,750,25,33850,-34075,YES,15100,N,-0.35,12-11-2024 10:50,210.95,197800,75,50,19875,-3050,N,3050,N,0.32
12-11-2024 10:55,24214,33950,-25,-25,17350,-525,N,7450,N,-0.52,24215,24214,12-11-2024 10:55,48.25,1137725,2675,-400,32650,-5950,Y,-15450,Y,-0.36,12-11-2024 10:55,207.7,180650,-100,-175,21475,2775,N,4875,N,0.19
12-11-2024 11:00,24208,23500,75,0,11575,2800,N,5525,N,-0.32,24212.8,24208,12-11-2024 11:00,47.4,894825,775,-125,27225,-20725,YES,5850,YES,-0.3,12-11-2024 11:00,212.05,267925,-25,-75,20975,4725,N,-1275,YES,0.29
12-11-2024 11:05,24238,31775,100,800,20350,12475,N,-56050,Y,-0.37,24208,24238,12-11-2024 11:05,53.7,749425,-875,450,29575,51350,Y,-28575,Y,-0.2,12-11-2024 11:05,192.4,170500,100,75,23975,-12600,Y,16500,N,0.18
12-11-2024 11:10,24226.05,33975,-100,100,15350,-14475,YES,16775,YES,-0.22,24239,24226.05,12-11-2024 11:10,48.3,793525,1525,900,28225,-22275,YES,80375,YES,-0.19,12-11-2024 11:10,203.75,189225,175,-350,23350,17700,YES,5800,N,0.08
12-11-2024 11:15,24203,30825,-25,-300,16575,5275,N,-1600,Y,-0.6,24221,24203,12-11-2024 11:15,44.8,933300,75,-150,29050,19625,Y,36875,N,-0.34,12-11-2024 11:15,218.5,354800,-150,-75,22350,-4525,Y,-17500,YES,0.58
12-11-2024 11:20,24233,35050,25,-125,26925,10500,N,-29075,Y,-0.42,24203,24233,12-11-2024 11:20,50.9,896400,-2125,-75,31550,67850,Y,850,Y,-0.25,12-11-2024 11:20,194.4,247850,125,125,21175,-2725,N,8200,Y,0.23
12-11-2024 11:25,24209,14825,0,25,11600,7000,N,-225,YES,-0.2,24233,24209,12-11-2024 11:25,45.35,637325,-25,2975,25500,-38925,YES,8325,N,-0.2,12-11-2024 11:25,211.55,146950,-175,-25,23100,-675,N,-5750,YES,0.14
12-11-2024 11:30,24216,27300,-50,100,17750,41975,Y,-7525,Y,-0.47,24205.15,24216,12-11-2024 11:30,47.25,691500,1075,925,29550,19250,Y,19300,N,-0.22,12-11-2024 11:30,206.65,153475,75,-50,24100,4975,N,4275,N,0.15
