last_traded_time,ltp,tot_buy_qty,tot_sell_qty
24-10-2024 10:32:50,24481.1,215425,315350
24-10-2024 10:33:00,24482.9,214675,316175
24-10-2024 10:33:10,24480.1,216925,316525
24-10-2024 10:33:20,24487.8,217225,310300
24-10-2024 10:33:30,24486.9,216375,314000
24-10-2024 10:33:40,24488.65,215000,314200
24-10-2024 10:33:50,24487.65,214400,314825
24-10-2024 10:34:00,24486.65,214275,314850
24-10-2024 10:34:10,24487.0,213150,314575
24-10-2024 10:34:20,24483.0,213950,315475
24-10-2024 10:34:30,24487.85,213950,315250
24-10-2024 10:34:40,24488.3,215100,315350
24-10-2024 10:34:50,24490.0,217700,313175
24-10-2024 10:35:00,24490.9,217900,312325
24-10-2024 10:35:10,24491.25,215925,313675
24-10-2024 10:35:20,24492.0,214525,313475
24-10-2024 10:35:30,24491.35,214500,313400
24-10-2024 10:35:40,24487.0,213800,315125
24-10-2024 10:35:50,24490.2,214325,313875
24-10-2024 10:36:00,24486.15,213325,314275
24-10-2024 10:36:10,24486.25,213700,316200
24-10-2024 10:36:20,24487.65,213475,315750
24-10-2024 10:36:30,24481.0,211925,317000
24-10-2024 10:36:40,24475.15,211050,317700
24-10-2024 10:36:50,24474.0,211450,316850
24-10-2024 10:37:00,24474.0,211675,315175
24-10-2024 10:37:10,24476.75,209600,320250
24-10-2024 10:37:20,24480.0,213150,313750
24-10-2024 10:37:30,24476.15,212425,314675
24-10-2024 10:37:40,24479.75,213875,314350
24-10-2024 10:37:50,24481.15,212675,315225
24-10-2024 10:38:00,24478.3,214200,314750
24-10-2024 10:38:10,24480.75,214875,314925
24-10-2024 10:38:20,24484.0,213725,314775
24-10-2024 10:38:30,24485.0,214925,314050
24-10-2024 10:38:40,24489.85,213450,315225
24-10-2024 10:38:50,24490.0,213325,315325
24-10-2024 10:39:00,24492.0,215750,315075
24-10-2024 10:39:10,24487.0,216075,316900
24-10-2024 10:39:20,24485.7,214150,315825
24-10-2024 10:39:30,24490.0,217400,316150
24-10-2024 10:39:40,24490.0,215775,316825
24-10-2024 10:39:50,24491.0,219200,315825
24-10-2024 10:40:00,24490.0,216750,315500
24-10-2024 10:40:10,24486.5,216150,318325
24-10-2024 10:40:20,24487.55,215700,317625
24-10-2024 10:40:30,24488.2,214425,316575
24-10-2024 10:40:40,24487.9,215425,316300
24-10-2024 10:40:50,24486.5,215725,315950
24-10-2024 10:41:00,24485.7,216500,316650
24-10-2024 10:41:10,24490.6,215425,316425
24-10-2024 10:41:20,24491.15,217250,316425
24-10-2024 10:41:30,24493.55,217025,314475
24-10-2024 10:41:40,24495.0,217450,314650
24-10-2024 10:41:50,24493.3,215700,315025
24-10-2024 10:42:00,24495.4,215525,316325
24-10-2024 10:42:10,24492.3,217650,315950
24-10-2024 10:42:20,24490.1,217900,316675
24-10-2024 10:42:30,24494.0,236250,316550
24-10-2024 10:42:40,24492.15,248250,316775
24-10-2024 10:42:50,24490.0,248475,317225
24-10-2024 10:43:00,24490.0,248375,317075
24-10-2024 10:43:10,24493.65,248050,317450
24-10-2024 10:43:20,24487.2,248050,317750
24-10-2024 10:43:30,24492.6,255775,318075
24-10-2024 10:43:40,24492.0,256825,317000
24-10-2024 10:43:50,24489.5,256250,318200
24-10-2024 10:44:00,24493.25,255150,317275
24-10-2024 10:44:10,24486.8,254625,317150
24-10-2024 10:44:20,24489.05,255875,317525
24-10-2024 10:44:30,24489.95,255100,317550
24-10-2024 10:44:40,24486.6,255025,318000
24-10-2024 10:44:50,24483.0,247200,318875
24-10-2024 10:45:00,24486.95,223200,318000
24-10-2024 10:45:10,24485.0,223250,318175
24-10-2024 10:45:20,24484.5,224025,317425
24-10-2024 10:45:30,24484.0,225350,316775
24-10-2024 10:45:40,24485.15,225450,318100
24-10-2024 10:45:50,24488.9,225700,318225
24-10-2024 10:46:00,24485.0,225450,317225
24-10-2024 10:46:10,24490.0,225525,317275
24-10-2024 10:46:20,24485.35,222475,318025
24-10-2024 10:46:30,24485.0,222250,315650
24-10-2024 10:46:40,24482.6,222525,316225
24-10-2024 10:46:50,24483.15,222900,316725
24-10-2024 10:47:00,24480.95,222950,316975
24-10-2024 10:47:10,24477.6,219650,318175
24-10-2024 10:47:20,24481.4,219850,318500
24-10-2024 10:47:30,24474.9,221450,318675
24-10-2024 10:47:40,24474.5,220925,336250
24-10-2024 10:47:50,24475.2,222800,318050
24-10-2024 10:48:00,24480.0,222625,318525
24-10-2024 10:48:10,24473.6,222525,319325
24-10-2024 10:48:20,24472.1,222275,319050
24-10-2024 10:48:30,24470.1,217700,318200
24-10-2024 10:48:40,24473.8,220425,319025
24-10-2024 10:48:50,24476.25,221200,317425
24-10-2024 10:49:00,24477.0,220900,316875
24-10-2024 10:49:10,24475.25,223475,316925
24-10-2024 10:49:20,24475.65,224100,315500
24-10-2024 10:49:30,24480.0,224100,316725
24-10-2024 10:49:40,24478.9,223700,316025
24-10-2024 10:49:50,24479.0,223050,316025
24-10-2024 10:50:00,24479.45,222925,315275
24-10-2024 10:50:10,24480.65,223400,314975
24-10-2024 10:50:20,24480.55,222850,314025
24-10-2024 10:50:30,24478.0,221975,315125
24-10-2024 10:50:40,24477.45,222125,314225
24-10-2024 10:50:50,24482.0,223450,314075
24-10-2024 10:51:00,24485.0,222750,314650
24-10-2024 10:51:10,24484.95,222925,314750
24-10-2024 10:51:20,24484.1,223100,316450
24-10-2024 10:51:30,24478.0,222375,316700
24-10-2024 10:51:40,24481.6,221675,316875
24-10-2024 10:51:50,24479.5,222250,317050
24-10-2024 10:52:00,24477.65,221875,317300
24-10-2024 10:52:10,24475.0,218275,318400
24-10-2024 10:52:20,24471.95,220350,316800
24-10-2024 10:52:30,24475.0,220750,316875
24-10-2024 10:52:40,24471.25,219150,315725
24-10-2024 10:52:50,24471.5,221200,315825
24-10-2024 10:53:00,24474.35,221425,315725
24-10-2024 10:53:10,24472.75,220100,316175
24-10-2024 10:53:20,24472.7,220775,315975
24-10-2024 10:53:30,24475.95,221375,316000
24-10-2024 10:53:40,24474.3,221400,315675
24-10-2024 10:53:50,24475.65,221375,315025
24-10-2024 10:54:00,24476.1,220850,315300
24-10-2024 10:54:10,24481.1,221350,316150
24-10-2024 10:54:20,24475.25,221225,315775
24-10-2024 10:54:30,24475.95,221275,316975
24-10-2024 10:54:40,24480.0,221375,317075
24-10-2024 10:54:50,24486.3,222350,316575
24-10-2024 10:55:00,24482.85,223475,316425
24-10-2024 10:55:10,24481.65,223375,315675
24-10-2024 10:55:20,24482.65,223875,315475
24-10-2024 10:55:30,24482.55,223325,316875
24-10-2024 10:55:40,24480.2,222225,317200
24-10-2024 10:55:50,24479.0,223975,317850
24-10-2024 10:56:00,24479.95,222600,318200
24-10-2024 10:56:10,24480.8,221550,318675
24-10-2024 10:56:20,24475.05,221300,317475
24-10-2024 10:56:30,24475.95,222000,317750
24-10-2024 10:56:40,24475.3,221750,317925
24-10-2024 10:56:50,24474.1,222750,319625
24-10-2024 10:57:00,24473.3,221450,319425
24-10-2024 10:57:10,24475.0,221550,318125
24-10-2024 10:57:20,24475.0,221875,318825
24-10-2024 10:57:30,24474.85,222175,317675
24-10-2024 10:57:40,24473.6,223325,318575
24-10-2024 10:57:50,24472.0,223325,318350
24-10-2024 10:58:00,24470.25,222100,319000
24-10-2024 10:58:10,24466.5,222600,318700
24-10-2024 10:58:20,24472.0,222575,318600
24-10-2024 10:58:30,24473.95,222900,318100
24-10-2024 10:58:40,24471.75,222575,319350
24-10-2024 10:58:50,24465.0,222575,318250
24-10-2024 10:59:00,24463.0,221350,319075
24-10-2024 10:59:10,24465.8,222200,319450
24-10-2024 10:59:20,24469.1,225100,318475
24-10-2024 10:59:30,24468.0,226675,319025
24-10-2024 10:59:40,24468.0,226375,319825
24-10-2024 10:59:50,24466.45,224850,319675
24-10-2024 11:00:00,24463.0,222975,320300
24-10-2024 11:00:10,24463.05,225175,319375
24-10-2024 11:00:20,24464.05,223125,319725
24-10-2024 11:00:30,24464.0,223050,320450
24-10-2024 11:00:40,24463.4,220825,319725
24-10-2024 11:00:50,24461.5,220150,319275
24-10-2024 11:01:00,24465.0,220625,319250
24-10-2024 11:01:10,24465.0,220775,318200
24-10-2024 11:01:20,24466.0,221175,318650
24-10-2024 11:01:30,24466.45,220975,318050
24-10-2024 11:01:40,24469.45,220975,318275
24-10-2024 11:01:50,24468.1,221025,319775
24-10-2024 11:02:00,24467.15,221025,319100
24-10-2024 11:02:10,24469.2,221975,319150
24-10-2024 11:02:20,24468.65,222450,319125
24-10-2024 11:02:30,24468.8,223125,318625
24-10-2024 11:02:40,24468.0,222350,319175
24-10-2024 11:02:50,24464.75,220775,319225
24-10-2024 11:03:00,24461.05,222875,320225
24-10-2024 11:03:10,24461.6,223475,319950
24-10-2024 11:03:20,24461.45,225125,319850
24-10-2024 11:03:30,24462.0,223125,320100
24-10-2024 11:03:40,24463.35,221200,321225
24-10-2024 11:03:50,24464.95,221725,319200
24-10-2024 11:04:00,24465.0,216575,319550
24-10-2024 11:04:10,24468.0,217075,317250
24-10-2024 11:04:20,24470.0,217100,317625
24-10-2024 11:04:30,24470.0,217375,318600
24-10-2024 11:04:40,24470.0,218075,319050
24-10-2024 11:04:50,24470.0,217300,317775
24-10-2024 11:05:00,24469.5,217675,317325
24-10-2024 11:05:10,24470.0,217725,318100
24-10-2024 11:05:20,24470.25,216500,319175
24-10-2024 11:05:30,24470.2,216000,318900
24-10-2024 11:05:40,24468.95,215325,319475
24-10-2024 11:05:50,24466.1,215875,319875
24-10-2024 11:06:00,24468.25,216150,319775
24-10-2024 11:06:10,24468.2,216225,319250
24-10-2024 11:06:20,24465.0,214875,319450
24-10-2024 11:06:30,24465.15,214325,319100
24-10-2024 11:06:40,24461.55,214350,319525
