last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
03-12-2024 10:05,-1.05,37225,0,125,0.3,0.15,14575,6800,N,-150,Y,0.48,24446.4,24445.35,-0.2,1782375,25,-475,-0.45,-0.5,27375,-16500,29325,-0.06,-0.55,682950,525,125,-0.5,-0.5,29325,-3800,38900,-0.8,18.45,13305,-495,150,11.95,15.75,8100,6465,-675,1.31
03-12-2024 10:10,2.65,46850,-25,-75,-0.45,2,18250,1175,YES,33950,YES,0.87,24445.35,24448,-1.7,1830475,250,-575,-1.9,-1.7,26600,-32225,-10925,0,-2.05,841150,-25,-50,-1.75,-1.65,28575,-4025,7500,-1.22,16.2,14295,-30,15,15.4,19.15,9645,1275,-2160,2.19
03-12-2024 10:15,29,93800,75,-25,31.7,30,19200,550,YES,6800,N,2.86,24448,24477,12.05,5491450,100,300,11.95,12.05,32200,46125,-295850,0.79,-18.45,1949700,-475,75,-18.8,-18.7,25150,100,40750,-3.74,93.45,54840,-60,30,88.2,86,11175,2175,-13620,12
03-12-2024 10:20,6.75,137175,350,50,7.4,11.1,18225,4975,N,-25500,Y,5.41,24476.55,24483.3,3.7,6372925,0,25,4.05,4,30525,114900,4225,1.72,-2.15,2256075,250,-75,-2.3,-2.35,31300,36525,84150,-4.35,-14.95,51525,720,-30,-6,-10,12345,2535,630,13.49
03-12-2024 10:25,37.85,196075,-25,275,36,35.9,16800,-725,YES,-32750,Y,8.74,24483.15,24521,16.55,6795425,75,250,15.7,15.95,26200,120875,-210400,2.37,-16.85,3042750,925,-75,-16.8,-16.7,33750,-48700,77625,-5.74,40.25,23790,-690,30,36.7,35.55,9870,-45,-90,4.87
03-12-2024 10:30,-11.05,137000,225,350,-11.5,-15.9,19650,-6500,YES,72325,YES,5.94,24517.6,24506.55,-8.55,7362700,-150,275,-8.5,-8.45,27975,-230175,244200,2.92,4,3291825,-8825,1450,4.05,4.25,29975,155075,53200,-5.54,-37.5,21600,135,-60,-34.45,-28.1,9255,-3300,6240,4.87
03-12-2024 10:35,21.45,84650,225,-125,18.05,20,16200,22025,Y,-15750,Y,3.17,24506.55,24528,10.45,5265550,600,-50,10.6,10.65,29475,119650,76950,1.78,-9.55,2896350,-1800,875,-9.55,-9.6,29450,-61675,149775,-4.11,32.6,20085,-30,0,36.35,31.8,7275,1950,-1920,4.33
03-12-2024 10:40,5.75,67000,-100,0,6.7,6.15,14650,109325,Y,38875,YES,2.75,24527.35,24533.1,0.35,5058275,3425,0,-0.1,-0.15,26625,5825,102375,1.81,-1.45,3004450,100,1450,-1,-1.05,36850,47500,29600,-4.01,22.65,28920,0,-15,27.85,29.25,8985,2685,5880,7.08
03-12-2024 10:45,-5.1,66775,50,25,-5.4,-4.15,17750,4475,N,77350,YES,2.55,24533.05,24527.95,-1.4,3977550,4950,350,-1.6,-1.35,28250,-55225,31650,1.15,-1,2475700,-3100,-200,-1.15,-1.2,31825,49875,73475,-2.73,-34.8,24270,120,240,-36.3,-33,10410,1230,33870,5.46
03-12-2024 10:50,-4.95,38825,225,-175,-5.55,-7.25,13950,12825,N,12750,N,1.17,24528,24523.05,-1.95,2610075,550,300,-2.2,-2.05,24025,75125,48300,0.55,2.45,2997075,-25,-125,2.95,2.95,27375,-16025,59500,-2.5,9.8,14970,0,-240,9.8,3,9495,255,-2355,2.45
03-12-2024 10:55,2.55,30575,1250,-625,2.3,4,12100,-39425,YES,8100,N,0.94,24524.1,24526.65,2.35,1904425,50,1375,0.95,0.75,21575,9475,-9200,0.44,-2.2,1878475,-175,-250,0.05,-0.05,30625,54350,52150,-1.46,12.05,9315,-15,-165,12.1,9.9,7200,-390,4245,1.84
03-12-2024 11:00,17.6,75750,-25,-950,12.85,15,17175,-2125,Y,-6175,Y,2.83,24527.2,24544.8,3.55,4597575,-175,-125,3.9,3.7,25950,481925,-77400,1.3,-5.05,3354850,-175,-25,-4.65,-4.7,31275,-1525,-19225,-2.83,14.8,49035,15,795,18.1,14.8,8175,75,-5400,11.38
03-12-2024 11:05,-4.25,29675,-150,1300,-0.05,-4.3,12575,-2950,YES,13750,N,1.06,24544.9,24540.65,-1.8,2460250,250,-250,-1.55,-1.55,26475,-2500,66625,0.64,1.5,1680525,150,300,1,1,28425,56350,31825,-1.29,0.2,22710,-15,-330,3.95,5.1,8670,-22815,22920,5.02
