last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
15-05-2025 10:05,-7.2,-10.9,-8.7,42150,-1163.9,41475,15150,N,-27675,Y,-2.24,24634.6,24627.4,-2.45,-2.65,-2.65,-139200,-65,81600,91725,Y,161100,N,-0.89,13.8,14.4,14.6,34875,-173.65,51600,-562200,Y,-183750,YES,2.06
15-05-2025 10:10,28.5,24.8,23.5,41925,-1207.9,37950,36600,Y,69825,YES,-0.68,24621.2,24650,24.1,24.95,25,67500,-76.35,58575,230475,Y,-1096650,Y,-0.04,-11.6,-12.1,-12.15,-22800,-147.35,48975,157350,YES,129375,Y,0.91
15-05-2025 10:15,-9.9,-10.7,-14,38025,-1285.5,47250,-41925,YES,-21300,Y,-0.18,24645.1,24635.2,-10.65,-10.3,-10.35,-99000,-93.25,60675,-349275,YES,-211200,YES,0.93,2.3,3,3,-4950,-149.55,56475,104100,N,47025,N,0.92
15-05-2025 10:20,18.1,20.2,20.9,67350,-1574.7,39000,23550,Y,-22575,Y,-0.53,24635.2,24654.2,8.25,8,8.05,18675,-78.8,62175,283125,Y,92475,YES,-0.08,-17.2,-14.4,-14.65,-40050,-165.9,52500,-151950,Y,72075,Y,0.88
15-05-2025 10:25,-5.2,-5.2,-6.5,-47775,-1208.8,40950,65325,Y,7575,YES,-0.13,24654.2,24649,0.7,0.95,0.95,-89550,-90.75,61425,-3911625,YES,-168450,Y,0.41,8.45,6.85,7,-6825,-144.65,56325,-3383400,Y,59550,N,0.49
15-05-2025 10:30,50.6,55.1,55.4,-81525,-1314.7,43350,23325,N,-47700,Y,2.75,24649,24704.9,35.65,34.6,34.65,-68775,-105.5,60375,-11175,Y,-770550,Y,2.48,-37.1,-37.85,-37.95,153900,-115.4,56700,-259425,YES,471525,Y,0.08
15-05-2025 10:35,98.6,102.2,105.9,-157350,-1316.5,42900,-5250,YES,-210075,Y,12,24704.9,24815,88.5,85.05,85.35,115950,-141.8,56550,-267825,YES,-654675,YES,3.68,-35.4,-34.45,-34.45,28875,-93.85,59700,-171900,YES,516975,Y,-1.57
15-05-2025 10:40,-1.2,-3.2,-1,-77025,-1182.1,43950,13950,N,102225,YES,29.28,24816,24814.8,1.9,2.4,2.55,14700,-241.45,48450,-830550,YES,68475,YES,4.81,8.6,7.05,7.05,-22875,-67.75,62700,594750,YES,-60750,YES,-3.12
15-05-2025 10:45,-12.6,-13.6,-14.2,40725,-1610.7,41475,20175,N,30975,N,6.23,24811.6,24794.4,-26.15,-27.55,-27.6,-6225,-253.2,56325,-63225,Y,120075,YES,1.56,-2.25,-1.85,-1.75,11100,-90.95,65250,202650,N,171900,Y,-1.74
15-05-2025 10:50,-10.2,-16.4,-14.6,-19500,-1153.4,35550,66225,Y,73875,YES,1.63,24795.2,24783,-15.2,-16.85,-16.85,20175,-232,60600,-43275,N,46275,N,0.72,2.95,3.4,3.45,-13050,-82.45,60375,81450,N,122775,N,-0.82
15-05-2025 10:55,62,59.3,60,-98925,-1573.9,47550,-21375,YES,-41700,Y,6.54,24783,24845,64.15,64.05,64.05,29700,-243.65,48450,-142200,YES,-160350,Y,1.29,-12.5,-12.55,-12.55,-13800,-71.05,60150,-167625,Y,197700,Y,-1.29
15-05-2025 11:00,-67.3,-67,-66.9,47025,-1539.4,46050,-14250,N,9150,YES,3.18,24846.4,24779.1,-70.45,-71,-71.1,39525,-243.75,53775,-135600,N,119700,YES,0.84,8.6,9.05,9.15,-19125,-68.15,62475,173850,YES,-28050,YES,-1.12
15-05-2025 11:05,-11.8,-11.4,-11.6,30825,-1481,49275,1275,N,-76050,Y,1.46,24779.8,24767.2,-12.5,-12.5,-12.4,-21450,-220,58950,141450,Y,42375,N,0.68,0.7,0.85,0.85,-22500,-85,65625,95175,N,-344475,YES,-1.12
15-05-2025 11:10,-62.3,-63.9,-61.8,119475,-1378.7,49275,-52650,YES,52425,YES,-0.15,24767.2,24704.9,-48.9,-49.15,-49.2,-2550,-143.9,62625,293100,Y,203550,YES,0.48,33.6,33.8,33.9,-75600,-109.65,64875,164475,YES,-494175,YES,-0.42
15-05-2025 11:15,32.1,26.8,28.7,29700,-1631.7,47325,-7950,Y,141450,YES,0.22,24704.6,24735,17.55,18.75,18.8,-52500,-165.55,66525,-94950,YES,46725,N,0.92,-20.3,-20.8,-20.95,21975,-106.8,71925,-130575,Y,167325,Y,-0.51
15-05-2025 11:20,-34,-34,-32.9,25725,-1824.7,44850,40350,Y,19800,N,-0.26,24735,24705.3,-20.4,-20.4,-20.45,-55125,-144.2,69825,280200,Y,280275,YES,0.24,19.05,19.4,19.45,-38400,-114.55,66225,147750,YES,-256725,YES,-0.24
15-05-2025 11:25,19.5,17.7,16.7,-29550,-1444.8,33075,-48150,YES,50100,YES,0.07,24705.3,24727.1,22.6,23.55,23.7,-56925,-154.45,60150,-104775,YES,-194100,Y,0.55,-2.4,-2.45,-2.5,28275,-112.4,71025,177525,YES,36375,Y,-0.2
15-05-2025 11:30,-19.5,-17.1,-19.9,-24675,-1605.3,43650,-8625,Y,75075,YES,-0.13,24727,24705,-16.4,-15.55,-15.65,-100650,-135.85,65625,249150,Y,160500,YES,0.25,7.2,6.65,6.65,17400,-120.6,71850,154350,N,-123525,YES,0.01
