last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
29-05-2025 10:05,4.7,9.5,3.5,-65100,-1086.7,36150,-10950,N,-14400,Y,1.42,24834.3,24839,1.25,1.1,1.1,49950,-49.2,65325,240600,Y,-21000,YES,0.34,-4.95,-4.45,-4.45,6300,-90.2,55950,-13725,N,-10800,YES,-1.37,-25.8,-17.2,-28,25380,-2339.2,12390,-7440,YES,4650,N,-1.59,55476,55450.2
29-05-2025 10:10,-26.8,-19.2,-21.3,-13425,-1104.9,32850,-6450,N,6900,YES,-0.48,24841.5,24814.7,-9.05,-7.65,-7.65,92025,-44.3,58200,-146325,YES,310800,YES,-0.4,14.25,14.4,14.35,57675,-109.6,55500,-138825,Y,-94950,YES,0.44,-121.6,-113.4,-119.2,-11280,-2896.6,15870,-4950,N,-4110,Y,-12.85,55445,55323.4
29-05-2025 10:15,-11.2,-14.7,-16.4,-43050,-884.6,34350,-14625,YES,-900,Y,-1.2,24817.3,24806.2,-4,-4.4,-4.5,74175,-35.95,72300,206175,Y,150600,N,-0.67,7.45,8.35,8.35,15600,-147.45,49650,22575,YES,-83850,N,0.75,-24.4,-24.4,-14.6,21210,-2311,15720,-2070,N,14310,N,-18.34,55323.4,55299
29-05-2025 10:20,4.3,6.1,2.2,-20025,-762.7,23700,-24075,YES,21975,YES,-0.74,24806.2,24810.5,1.25,1.1,1.05,-122700,-36.85,82050,-65325,YES,280575,YES,-0.58,-1.35,-0.7,-0.85,-30750,-118.7,63975,13575,N,28950,Y,0.2,28.2,27.8,14,5100,-1923.6,13980,-660,N,5070,N,-3.87,55296.8,55325
29-05-2025 10:25,-31.7,-27.5,-28.8,19650,-692.5,22050,-11250,N,9900,N,-1.4,24810.5,24778.8,-4.05,-4.1,-4.1,199950,-35,75150,-1619400,YES,-127875,Y,-0.44,29.6,30.3,30.7,16875,-132.5,56175,-28275,Y,-245400,YES,0.76,-35,-36,-39.8,8460,-2338.6,12330,-6960,YES,-870,Y,-3.18,55325,55290
29-05-2025 10:30,-7.2,-8.5,-4,-6750,-1153.9,32625,2550,N,13875,N,-4.76,24775,24767.8,0.4,0.35,0.35,-103350,-35.15,74475,-131025,Y,27450,YES,-0.69,6.9,6.45,6.4,19350,-189.2,59325,-148725,Y,34800,Y,2.8,-13.8,-9.2,2.6,6570,-2567.8,13890,-510,N,15870,N,-8.33,55289,55275.2
29-05-2025 10:35,-10.5,-8.5,-10,77775,-795,44925,5700,N,12750,N,-3.01,24765.5,24755,-2.25,-2.2,-2.7,-70200,-34.3,87075,436575,Y,161625,YES,-0.36,8.2,7.9,7.8,-6300,-172.95,58800,-21000,YES,-24525,YES,1.1,-25.2,-27.4,-42,-104580,-2415.2,12420,1680,N,6240,N,-5.46,55275.2,55250
29-05-2025 10:40,-5,-8.3,-5,98175,-836.2,35550,-17250,YES,7275,N,-5.37,24755,24750,-2,-2,-2,-224850,-33.6,76425,368175,N,69375,N,-0.43,5.9,6.95,7,-12150,-186.1,50700,8850,YES,-26475,YES,0.95,-29.6,-30,-30,87000,-2646.8,19860,-2370,YES,900,Y,-12.37,55250,55220.4
29-05-2025 10:45,17.6,15.4,13.4,105075,-1037.1,36600,29250,Y,-900,Y,-2.46,24746.4,24764,2.05,2.05,2.05,84000,-34.25,96750,35175,N,346350,YES,-0.31,-13.45,-13.75,-13.75,75,-180.85,55950,-31425,Y,23925,Y,0.68,28.4,19.2,30.8,1320,-3303,13980,18330,Y,-1200,Y,-4.96,55220.2,55248.6
29-05-2025 10:50,-6.8,-5.9,-3.3,10500,-647.5,47250,21000,N,2025,N,-1.89,24763.3,24756.5,1.05,1,1,-9375,-35.4,89100,15300,N,-37950,Y,-0.36,4.5,4.15,4.15,-12225,-175.75,58275,-1500,YES,-3225,YES,0.68,9.6,21.4,18.4,57780,-4274.2,14280,4650,N,7080,N,-4.72,55248.6,55258.2
29-05-2025 10:55,-10.4,-12.4,-11.4,-14325,-1097.6,38325,-1875,YES,-15600,Y,-1.58,24760,24749.6,-0.6,-0.65,-0.7,-104025,-39.9,86175,-54600,YES,56325,YES,-0.26,8.2,10.25,10.2,-54075,-178.2,59175,1350,N,-44550,YES,0.6,-29,-27,-23.2,-2520,-2422,16890,-10920,YES,-5070,Y,-3.84,55270,55241
29-05-2025 11:00,-29.4,-29.5,-30.7,187500,-857.7,40050,-27075,YES,-675,N,-4.26,24747.5,24718.1,-3.55,-3.65,-3.6,66525,-33.55,85050,-133200,YES,12525,N,-0.44,32.2,32.8,32.8,-14400,-223.45,54600,375,Y,-45150,YES,1.8,-34.4,-40.2,-52,26010,-3372.8,15510,-14010,YES,2400,N,-6.39,55241,55206.6
29-05-2025 11:05,12,13.8,13.3,493200,-837.4,48675,-675,Y,23175,YES,-3.33,24718,24730,-1.1,-1.1,-1.1,-281775,-32.35,100275,-63450,Y,147900,YES,-0.32,-12.85,-14.7,-14.6,19500,-221.5,56100,-27750,Y,38400,Y,0.79,0.4,6.8,4.8,-3420,-3355.8,21870,930,N,2970,N,-2.89,55206.6,55207
29-05-2025 11:10,-9,-10,-8.6,-5700,-705.5,42525,1350,N,-13350,Y,-1.52,24730,24721,-1,-1.1,-1.1,-144075,-31.7,97950,-41625,Y,67275,N,-0.21,8.4,8,7.85,-27675,-202.85,57075,-19350,N,3600,N,0.51,-30,-24,-30,46380,-1709.2,18750,-8370,YES,12600,N,-5.57,55207,55177
29-05-2025 11:15,-8.7,-8.9,-9.8,-52350,-951.8,37575,-4650,YES,7350,YES,-2.94,24718.6,24709.9,-1.4,-1.5,-1.5,351525,-26.95,105225,-79650,YES,121800,YES,-0.38,5.7,6.3,5.25,-2025,-217.8,64050,-6525,N,28575,Y,0.76,-20.4,-13.2,-23,173700,-2713,20040,390,N,2100,Y,-5.79,55178.6,55158.2
29-05-2025 11:20,8.5,8.3,5.4,2325,-828.2,49350,15600,Y,10800,N,-2.96,24709.3,24718.4,0.35,0.3,0.3,-1496625,-27.45,119400,419700,Y,-183975,Y,-0.34,-8.9,-7.75,-7.75,-21000,-208.15,57900,-36300,Y,22950,N,0.59,21.8,14.2,3.4,53940,-2271.4,12840,-2010,YES,12960,N,-4.99,55160,55181.8
29-05-2025 11:25,4.5,3.9,7,28875,-971.4,33375,-8775,YES,5250,N,-1.44,24718.4,24722.9,-0.35,-0.25,-0.25,119400,-26.9,119025,-86025,YES,207300,YES,-0.27,-3.45,-4.55,-4.5,7500,-198.65,47700,-27825,N,3525,N,0.41,-8.8,-3.2,-4,46560,-2924,16320,8850,N,-6900,Y,-7.88,55181.8,55173
29-05-2025 11:30,0.7,1.2,2.3,-45675,-719.2,26925,5100,N,13050,N,-1.03,24722.7,24723.4,0,0,0,587025,-25.95,110175,0,Y,-95400,Y,-0.27,-1.5,-1.3,-1.3,-42300,-175.15,54750,675,YES,-4500,YES,0.42,-2.8,-2,-9,-1800,-2604,14040,-960,YES,18150,YES,-1.61,55173,55170.2
29-05-2025 11:35,7.8,6.1,2.7,-66000,-741.3,35550,1350,YES,-6225,Y,-1.48,24726,24733.8,0.6,0.55,0.6,736500,-29.65,99450,86925,Y,-37650,YES,-0.27,-4.9,-5.65,-5.7,40350,-178.05,55275,-6225,Y,-6675,YES,0.37,1.8,1,1,10260,-2955.2,15930,1500,N,2880,Y,-1.72,55170.2,55172
29-05-2025 11:40,-16.2,-15.6,-10.1,35025,-663.4,29625,-150,YES,18150,YES,-0.82,24733.8,24720,1.05,0.95,0.9,309000,-29.6,110925,321225,Y,-105150,Y,-0.28,13.85,13.45,13.15,-27225,-170.1,57975,35025,YES,-25125,YES,0.41,-33,-41,-33,-34650,-2650.8,14550,-990,YES,-2730,Y,-3.6,55172,55139
29-05-2025 11:45,2.6,5.2,1.3,52350,-591.3,28725,-7575,YES,9825,N,-1.22,24720,24722.8,-2.25,-2.1,-2.1,751200,-29.4,106425,-140025,YES,129375,YES,-0.25,-3,-3.55,-3.8,3750,-187.85,49725,-50775,Y,34725,Y,0.34,4.8,4,5.4,-4890,-3889.8,13500,-1560,YES,-2130,N,-4.62,55130.6,55135.4
29-05-2025 11:50,3.9,6.3,6.6,-21975,-668,30075,-4275,N,6600,N,-0.69,24722.8,24726.8,3.5,3.4,3.45,330225,-32,110550,79050,Y,-153600,Y,-0.24,-2.55,-2.95,-2.9,23400,-175.6,66375,6600,YES,-6750,YES,0.25,20.8,22.4,18.8,-29970,-2340.6,11310,-7020,YES,2280,N,-1.92,55134.2,55155
29-05-2025 11:55,-1.8,-1.9,-0.7,-52575,-840.3,62325,-6450,YES,24375,N,-1.58,24726.8,24727.9,0,0,0,97800,-34.2,95925,75900,N,20100,YES,-0.26,-0.3,0.3,0.4,17925,-190.7,53475,38775,YES,-10800,YES,0.4,8.4,8.4,2,14790,-2892.4,17280,2340,N,-6930,Y,-1.98,55151.8,55160.2
