last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
30-04-2025 10:05,6.2,6.7,9,-78825,-757.8,33000,-4650,Y,375,Y,1.06,24446.9,24453.1,2.75,3.45,3.4,-18525,-71,49125,204075,Y,78375,N,0.68,-1.1,-1.3,-1.3,137025,-24.45,104175,225150,N,71025,Y,-0.59,66,65.4,53.2,-10620,-3525,11640,7500,Y,14160,N,0.85
30-04-2025 10:10,-13.9,-13.9,-16.7,33900,-892.2,30675,-4650,N,5250,N,0.58,24453.9,24440,-16.75,-16.45,-16.45,-21375,-63.05,44925,-4800,YES,293025,YES,0.38,1.55,1.6,1.65,-600,-23.8,107550,340200,YES,-345600,YES,-0.69,-73.4,-73.4,-75.6,13590,-2859.8,14820,-3960,YES,5250,N,-0.41
30-04-2025 10:15,2.3,-0.7,2.3,-12225,-1015,24975,5400,N,74100,YES,0.19,24441.1,24443.4,1.85,1.75,1.7,-27375,-60.3,50475,114225,Y,34875,N,0.22,-1.1,-1.15,-1.1,-662400,-25.75,108300,-31050,Y,528750,Y,-0.59,-15.6,-16.4,-16.2,48210,-2426.6,11460,18390,Y,7620,N,-0.21
30-04-2025 10:20,3.7,7.8,6.3,13275,-888.8,25950,-7425,YES,113700,YES,0.24,24443.4,24447.1,4.5,4.05,4.1,-18075,-57.55,51450,82425,N,-261825,Y,0.22,-2.35,-2.35,-2.35,-36375,-22.4,101850,-292575,Y,167025,N,-0.83,37.2,33.2,35.8,5460,-3374.4,13470,-1440,YES,150,Y,-1.38
30-04-2025 10:25,-20.8,-21.5,-21.1,7800,-948.7,25275,-12000,YES,16200,N,0.19,24447.1,24425.6,-15.9,-16.25,-16.2,-94725,-57.95,47325,-300000,YES,404775,YES,0.11,4.05,4.25,4.25,236775,-22.9,92775,631350,YES,-427200,YES,-0.56,-78.6,-71.2,-81.2,9270,-2204.8,16860,-6690,YES,-4410,Y,-1.99
30-04-2025 10:30,-25.6,-25.6,-26.5,18150,-1123.7,37500,-300,N,375,Y,-1.38,24425.6,24400,-18.7,-18.5,-18.5,132600,-40,68250,703575,Y,758250,YES,-1.59,7.8,8.2,8.15,213975,-29.65,104475,255375,N,-1827750,YES,-0.28,-59.4,-56.8,-58,45240,-2843.2,15930,-2430,N,4830,N,-4.38
30-04-2025 10:35,0,-0.5,-0.1,29850,-877.6,33900,-1350,YES,-21825,Y,-1.25,24400,24401.3,-0.45,-0.3,-0.3,92250,-35.1,74025,769275,Y,486000,N,-1.89,1.8,1.85,1.85,-280950,-35.6,92475,-290250,Y,-1271625,Y,0.71,-31.2,-37.8,-35.8,106320,-2702.2,17370,240,N,-990,Y,-11.34
30-04-2025 10:40,7.3,5.1,7.4,-54150,-778.3,32700,11400,N,-10950,N,-0.6,24400,24405,1.8,1.9,1.85,218775,-38.05,63600,93675,N,244725,N,-1.11,-6.15,-6.2,-6.2,-87450,-28.2,107325,425100,YES,776250,Y,-0.19,51.2,50.2,35.8,-40020,-2941.4,14610,7380,N,3030,N,-3.72
30-04-2025 10:45,8.3,4.8,4.6,-6075,-996.2,26550,3900,N,-300,N,-0.17,24405,24413.8,1.8,1.4,1.35,-26100,-35.4,57750,327600,Y,36675,N,-0.76,0.15,0.2,0.2,279525,-25.3,103875,567525,YES,462525,N,-0.24,27,30.2,13.4,-2310,-3698.8,10860,-180,YES,-990,Y,-1.73
30-04-2025 10:50,-2.3,-1.4,-1.7,-825,-922,24375,4875,N,1950,N,-0.18,24413.8,24411.5,-0.2,-0.1,-0.05,-54750,-36.85,70425,-91575,YES,-155400,Y,-0.68,-0.15,-0.2,-0.2,170625,-26.8,110100,9600,N,389100,N,-0.22,-15.8,-2.2,-15.8,-1320,-2669.2,13530,1080,N,5460,N,-0.69
30-04-2025 10:55,14.5,13.8,14,-20175,-961.7,31200,3375,N,-3600,Y,0.01,24411.5,24428.5,12.15,11.65,11.7,-193650,-48.3,70425,-212325,YES,-821325,Y,-0.19,-4.3,-4.25,-4.25,902325,-24.8,101400,-422550,Y,782550,Y,-0.36,35.8,40,40.8,-50910,-1648.2,11580,5130,N,-6750,Y,-0.49
30-04-2025 11:00,9,11.4,10.8,-68625,-793,27150,5775,N,-5025,Y,0.19,24428.5,24437.1,10.05,10.05,10.05,3825,-52.2,59775,-70125,Y,-428475,YES,0.23,-1.85,-1.85,-1.85,-183150,-20.95,96300,-127875,YES,506850,N,-0.47,22.2,25,22,-43350,-2094.6,12990,5130,N,19770,YES,-0.09
30-04-2025 11:05,-16.5,-16.8,-16.5,12975,-556.8,30900,-2175,YES,6300,N,0.01,24435,24416.4,-9.35,-8.65,-8.7,-108150,-51.95,62550,-416925,YES,225975,YES,0.05,5.25,5.15,5.15,333750,-22.55,109275,828825,YES,-745650,YES,-0.35,-106.6,-110.6,-98,2490,-3319.4,10920,-2520,YES,-13080,Y,-0.96
30-04-2025 11:10,0.5,2.1,0.4,-17475,-415.8,30150,9525,N,-1650,Y,-0.1,24416.4,24417,3.2,2.95,2.9,-14775,-50.5,68250,307350,Y,-80775,Y,-0.03,-2.35,-2.25,-2.25,1977150,-24.55,113625,8250,N,774375,Y,-0.24,29,44.4,42,-210,-3113,9960,720,N,-6720,N,-0.63
30-04-2025 11:15,27.1,27.2,26.1,-45750,-525.2,34050,3975,N,-24525,Y,0.44,24416.9,24444,26,26.1,26.15,-495900,-57.85,58275,-265950,YES,-1148550,Y,0.67,-2.1,-2.2,-2.2,-702975,-23.9,114525,-350475,Y,94575,N,-0.3,40,42.6,34.4,-930,-3201.6,10800,10590,N,9750,N,-0.28
30-04-2025 11:20,-20.7,-19,-19,1200,-485.5,27075,975,YES,65700,YES,0.07,24444,24423.3,-21.65,-21.2,-21.25,91875,-60.4,56400,76050,Y,530325,YES,0.26,1.7,1.7,1.7,1254900,-23.35,109275,478875,YES,14475,N,-0.21,-23.8,-15.6,-19.8,-1050,-2614.8,9600,7200,N,25290,N,-0.47
30-04-2025 11:25,-5.6,-6,-7,44250,-648.7,25575,-6000,YES,375,Y,0.01,24423.3,24420.1,-2.75,-2.75,-2.75,15225,-58.4,57225,-73350,YES,168450,N,0.08,1.15,1.05,1.1,259200,-25.25,126975,449850,N,-217800,YES,-0.19,-23.6,-22.4,-19.8,-480,-2821.2,10650,3600,N,5670,N,-0.18
30-04-2025 11:30,-5.1,-3,-3.1,62475,-866.3,32850,9225,N,8400,N,-0.07,24420.1,24415,0.65,0.6,0.6,52200,-53.9,58425,277425,Y,171225,N,0.04,1.1,1.05,1.05,221550,-25.75,107325,-62250,Y,-38700,Y,-0.17,-23.4,-30.6,-31,-5400,-4053.4,9750,2430,YES,1230,Y,-0.32
30-04-2025 11:35,5,2.4,3.7,-8025,-695.3,21900,6150,N,-900,Y,-0.04,24415,24417.2,4.3,4,4,-20400,-54.05,63750,-1950,YES,-141600,Y,0.07,-1.9,-1.9,-1.9,-446325,-23.95,102300,305025,YES,192000,Y,-0.12,27.6,33.4,44.4,-3840,-4172.2,8790,-510,YES,4470,N,-0.25
30-04-2025 11:40,2.8,2,1.9,-13950,-889.6,23025,-1200,YES,2175,N,0,24417.2,24421.8,-4.5,-4.4,-4.4,43950,-57.2,53100,-72375,YES,99750,YES,0.09,0.8,0.8,0.8,863775,-24.5,110775,-95400,Y,70950,N,-0.11,24.4,23.4,7.4,13800,-2085.6,12030,-4050,YES,4020,N,-0.23
30-04-2025 11:45,-6.8,-5,-5.8,975,-716,22875,450,N,2625,N,-0.16,24421.8,24415,-2.1,-2.05,-2.1,35700,-51.3,56025,61575,Y,253350,YES,-0.01,0.6,0.75,0.75,380925,-26.9,105450,-260475,Y,-1088025,YES,-0.11,-45,-45,-43,960,-2666.2,9870,-330,N,1890,Y,-0.52
30-04-2025 11:50,4,5,9.2,-5775,-1125.5,28575,2325,N,-1575,Y,-0.01,24415,24419,6.2,6.2,6.25,-74775,-56.2,54975,226200,Y,-217350,Y,0.07,-1.95,-1.9,-1.95,1729800,-24.25,117900,519300,YES,947700,Y,-0.13,-10.6,-14.8,-20,3360,-2041.8,9270,1650,N,4710,N,-0.37
30-04-2025 11:55,9.5,9.4,8,-135975,-724.2,23400,1275,YES,-3675,Y,0.06,24420,24429.4,8.9,8.95,9,-103650,-61.25,49500,-399300,YES,-316875,Y,0.3,-1.3,-1.25,-1.25,929475,-22.05,111525,-870825,Y,247275,N,-0.14,22.8,10,15.6,-10950,-2528.2,11820,810,YES,-2400,Y,-0.48
30-04-2025 12:00,8.1,8.2,4.1,-47025,-985.9,28200,4125,N,3225,N,0.11,24428.7,24437.1,0.65,0.55,0.55,84000,-64.2,48300,-199875,Y,-49875,YES,0.26,-0.3,-0.35,-0.35,14925,-20.35,99225,301725,YES,401250,Y,-0.13,29,27.2,19.2,-2310,-2289.6,8850,1260,N,2190,N,-0.27
30-04-2025 12:05,-3,-1.8,-3,-12225,-721.8,20175,1875,YES,11550,N,0.05,24439.4,24434.2,1.2,1.45,1.5,22425,-60.25,48300,97425,Y,121650,YES,0.15,-0.3,-0.3,-0.3,434700,-19.6,116775,-125325,Y,244350,N,-0.07,-33,-19,-24.6,12840,-2069.4,10200,-2430,YES,-3030,Y,-0.23
30-04-2025 12:10,0.8,0.9,0.2,-23925,-672.8,24375,1125,YES,-3600,Y,0.15,24434.2,24435,-3.25,-3.2,-3.2,198600,-63.2,52275,20775,N,45225,N,0.22,-0.8,-0.8,-0.8,-1713450,-19.75,113475,-328050,Y,234450,N,-0.14,-6.2,-2.2,-7.6,4020,-2614.2,9300,-120,N,2490,N,-0.26
30-04-2025 12:15,4.3,2.2,2.9,-64725,-896.3,27525,1350,N,4050,N,0.16,24435,24439.3,0.65,0.55,0.5,43875,-60.95,53850,17550,N,43950,N,0.14,-1.5,-1.55,-1.55,-1766025,-20,111300,-288000,YES,313950,Y,-0.17,6,9.8,15,-1680,-3007,11310,360,N,-1230,Y,-0.71
30-04-2025 12:20,-1.2,-1.7,-0.5,-100350,-749.1,18900,450,YES,-525,Y,0.07,24437.2,24440,1.35,1.4,1.35,96225,-54.35,48225,137250,Y,-14550,Y,0.12,-1.15,-1.1,-1.1,-175800,-17.35,111900,-395625,Y,-89100,YES,-0.15,38,19.2,28.8,-53220,-1900.6,12540,2430,N,2580,N,-2.02
