last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
23-04-2025 10:05,-40.5,-40.5,-41,25050,-906.8,30075,1950,N,-16575,Y,-7.08,24270.4,24229,-19.4,-19.7,-19.7,6450,-104.6,43800,-18300,Y,162375,YES,-4.92,20.9,21.45,21.5,26325,-63.35,45300,72225,N,-188550,YES,3.27
23-04-2025 10:10,-43,-42,-42.1,-42825,-887.1,36525,-28725,YES,9750,YES,-6.29,24230,24190,-23.45,-22,-22.15,6900,-87,42000,-27300,YES,192075,YES,-5.5,21.45,20.5,20.5,65025,-75.8,41625,137550,YES,-276000,YES,4.26
23-04-2025 10:15,32,30.2,31.4,-44325,-1016.6,31875,3075,Y,-5850,Y,-3.59,24190,24222.9,14.15,14.85,14.9,-123150,-85.6,47175,315225,Y,173100,N,-5.98,-17,-17.1,-17.05,-11775,-78.85,49425,-86400,Y,334725,Y,2.48
23-04-2025 10:20,-12,-10.2,-8.8,-9975,-776.5,28125,-41850,YES,51300,YES,-2.5,24222.9,24214.4,-3.4,-3.95,-3.9,-28125,-84.05,45525,147075,N,153000,N,-2.75,4.25,4.5,4.5,-96600,-73,49725,42075,YES,51600,N,1.64
23-04-2025 10:25,20.6,22.4,21.4,9600,-749.4,26175,7875,N,-17775,Y,-1.7,24214.4,24235,8.75,9,8.95,-79425,-80.9,46500,46650,N,19650,N,-2.3,-13.65,-13.65,-13.65,32025,-70.2,43725,-120375,Y,222000,Y,0.94
23-04-2025 10:30,-35.5,-33.8,-36,54150,-765.7,28800,-450,YES,-8475,N,-2.22,24234.5,24195.3,-17.1,-16.85,-16.9,16800,-92.45,48150,-305175,YES,-36975,Y,-2.47,16.3,15.95,15.95,-45225,-68.75,49500,242100,YES,-211200,YES,0.95
23-04-2025 10:35,-6.9,-10.2,-9.5,-6750,-1155.9,27750,-4500,YES,5325,N,-6.51,24195.3,24188.4,-6.25,-5.95,-5.85,72750,-68.85,41100,166650,Y,232425,YES,-3.81,5.35,5.5,5.5,-62325,-77.25,44175,-99600,Y,55950,Y,2.11
23-04-2025 10:40,-10.4,-9.2,-9.4,49575,-914.3,25200,6750,N,-11325,Y,-1.63,24188.4,24177,-2.7,-2.95,-2.9,97425,-71.3,43725,-40725,YES,147375,N,-1.98,5.85,6.4,6.45,-10875,-81.1,42750,141525,YES,-56925,YES,1.26
23-04-2025 10:45,-24.9,-24.9,-26.4,23175,-949.5,30150,-9900,YES,19875,YES,-3.56,24177,24158.2,-10.1,-10.1,-10.1,-51450,-69.4,48300,-183225,YES,93750,N,-3.07,12.85,13.65,13.65,-13800,-88.85,41625,-163050,Y,-320175,YES,2.11
23-04-2025 10:50,-28.3,-22.5,-23.4,27150,-956.7,27450,-40200,YES,9975,N,-5.63,24160,24131.7,-10.65,-10,-10.1,16125,-62.35,50925,-33225,Y,264225,YES,-2.92,15.25,13.6,13.65,-35325,-93.35,46725,10275,YES,-96450,Y,1.82
23-04-2025 10:55,33.4,29.2,28.3,-1050,-744.4,36600,3375,Y,5775,N,-5.65,24130.8,24163.8,8.65,8.5,8.55,-16950,-55,52950,393825,Y,-123825,Y,-3.4,-16.8,-17.35,-17.3,171000,-106.8,40950,-228525,Y,248400,Y,1.9
23-04-2025 11:00,12.8,13.8,12.5,-273150,-788.4,33825,21825,N,-14250,Y,-2.46,24160,24173.9,5.85,5.45,5.5,-103875,-67.2,51300,-123375,YES,32775,YES,-2.83,-10.25,-9.75,-9.7,-99375,-87,47175,68400,YES,11700,N,0.87
