last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
03-04-2025 10:05,18.5,13.1,13.9,8025,-922,27600,10200,N,-19050,Y,1.07,23341.1,23359.6,6.55,5.5,5.6,24225,-75.5,47550,-282600,YES,-180375,N,0.52,-3.4,-3.2,-3.2,501000,-29.05,108225,-152325,YES,163125,N,-1.5,107.5,107.3,116.95,-32790,-1795.65,12450,7080,N,-9690,Y,14.17,51571,51678.5
03-04-2025 10:10,15.4,17.1,18.4,49875,-1043.5,25950,-15900,YES,2325,YES,1.59,23359.6,23375,18.4,16.95,16.95,6975,-71.9,44025,-102975,Y,-461475,Y,0.9,-1.6,-1.45,-1.45,610275,-25.5,89775,-127350,YES,150225,N,-0.89,-12.4,-25.2,-25.95,-5340,-3307.9,11790,11670,N,-16710,Y,6.39,51678.4,51666
03-04-2025 10:15,-10.15,-9,-9,128025,-799.1,28950,22200,Y,19050,N,0.93,23375.15,23365,-13.95,-13.7,-13.75,-52350,-72.45,46950,41550,Y,178500,YES,0.5,-0.3,-0.3,-0.3,276525,-25.45,101550,240150,YES,267675,Y,-0.82,-12.25,12.9,7.1,16950,-2192,9300,-630,YES,-5850,N,4.81,51666,51653.75
03-04-2025 10:20,35.6,35.25,37.65,-33675,-902.35,30075,11100,N,-47775,Y,2.64,23365,23400.6,31.5,31.05,31.2,-97575,-82.1,52575,-107550,YES,-640200,Y,1.25,-3.8,-3.8,-3.85,-470175,-25.55,102900,-751125,Y,-205125,YES,-1.26,110.55,104.5,93.7,570,-2778.1,12030,10290,N,-22860,Y,17.21,51653.75,51764.3
03-04-2025 10:25,-8.15,-7.9,-8.8,-106275,-1034.7,38400,8325,N,20850,YES,3.42,23408.05,23399.9,-10.75,-10.1,-10.15,-82875,-90.55,39225,-186825,YES,272100,YES,1.08,-0.05,-0.15,-0.15,-3871350,-19.8,106275,1314450,YES,-345375,YES,-0.95,10.45,14.85,10.75,33210,-2042.95,11730,6180,N,10380,YES,16.82,51764.3,51774.75
03-04-2025 10:30,2,-0.75,-1,-21150,-822.85,31575,8775,N,1125,Y,1.71,23397,23399,-1.1,-1.15,-1.15,-3525,-85.3,45150,11850,Y,50625,N,0.59,0.05,0.15,0.15,-899175,-21.6,114225,215550,N,301350,Y,-0.66,-43.95,-34.75,-32.95,-20340,-1877.35,10470,4290,N,9030,N,6.05,51773.95,51730
03-04-2025 10:35,-9,-8.2,-9,-84600,-474,21525,-43800,YES,-150,Y,0.69,23399,23390,-5.35,-5.15,-5.2,-27600,-86.4,51375,-121050,YES,87900,YES,0.42,0,0,0,-502050,-21.45,125400,242550,YES,390900,Y,-0.41,-18,-9.95,-10,-37110,-1430.5,8970,4410,N,-630,Y,3.44,51739,51721
03-04-2025 10:40,3,1.45,3,-15075,-606.55,23850,-18975,Y,-14550,Y,0.73,23390,23393,-2.1,-0.55,-0.55,155400,-86.75,51375,54675,Y,67125,N,0.43,0.05,-0.1,-0.1,306750,-22.1,112500,-83025,Y,4950,N,-0.45,9,8.9,0.55,1620,-1596.65,9960,-3930,YES,1260,N,3.03,51721,51730
03-04-2025 10:45,-15.8,-12.9,-15.8,24225,-640.6,27300,-7950,N,9975,YES,0.59,23392.95,23377.15,-10.2,-9.7,-9.75,21225,-79.35,47550,-41025,YES,63675,N,0.25,0.65,0.65,0.65,562275,-23.75,130125,-230025,Y,85650,Y,-0.53,-48.7,-38.7,-47.55,14850,-1715.5,8610,2640,N,-510,Y,2.81,51730,51681.3
03-04-2025 10:50,4.4,0.35,3.85,-13275,-423.75,20100,25800,Y,2325,Y,0.41,23376.6,23381,-0.8,-1.3,-1.3,-25350,-73,52800,110475,Y,56475,N,0.13,-0.85,-0.75,-0.75,-1132875,-23.35,139650,73575,YES,283200,Y,-0.5,-14.7,-8.2,-10.2,-60690,-1595.95,8730,9960,N,2580,N,1.72,51681.3,51666.6
