last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
17-04-2025 11:35,22.1,19.8,16,63975,-792,35175,-8625,YES,38325,YES,5.36,23541.7,23563.8,21.75,21.9,21.8,-5325,-280.75,43125,-886500,YES,-33975,Y,0.65,17-04-2025 11:35,0.7,0.65,0.7,43500,-32.15,92850,-43725,YES,66600,Y,-0.18
17-04-2025 11:40,38.4,32.5,36.8,68700,-850.9,43350,104400,Y,-50850,Y,9.4,23563.4,23601.8,42.7,39.7,39.75,-25725,-279.6,38175,-1931175,YES,-65100,Y,0.99,17-04-2025 11:40,-2.3,-1.95,-1.95,-52125,-33.45,77100,-826200,Y,-33000,YES,-0.17
17-04-2025 11:45,-1.9,-3,-5.2,-43350,-854,36750,11250,N,54525,YES,4.49,23598.7,23596.8,-1.6,-0.85,-0.7,-29925,-273.25,37800,-268650,Y,8625,YES,0.49,17-04-2025 11:45,1.5,1.8,1.75,-42450,-28.85,90300,484950,YES,-37500,YES,-0.14
17-04-2025 11:50,1.9,-1.9,2.4,-74475,-1072.3,41025,-51375,YES,28050,N,8.52,23597.1,23599,-3.4,-3.7,-3.55,8850,-331,38925,-412875,YES,-7125,Y,0.64,17-04-2025 11:50,-3.15,-3.15,-3.2,146550,-29.85,98175,-253425,Y,151500,Y,-0.28
17-04-2025 11:55,13.7,10,10.8,-479850,-1249.9,37200,24000,Y,-7650,Y,4.07,23594.9,23599,5,4,3.85,26400,-328.65,38250,-311550,Y,23025,YES,0.68,17-04-2025 11:55,0.5,0.55,0.5,344325,-32.2,100200,65400,YES,58200,N,-0.2
17-04-2025 12:00,5.5,4.9,6,-137550,-969.5,35550,46050,Y,-11550,Y,3.74,23595.6,23601.1,-0.15,1.25,1.35,40725,-290.5,36000,-16500,Y,2925,Y,0.53,17-04-2025 12:00,-1.9,-2.1,-2.05,-183075,-31.15,96000,-11475,Y,89625,Y,-0.18
17-04-2025 12:05,16.3,13.7,12.6,-1200,-1096.9,32175,14025,N,-5325,N,2.47,23601.1,23613.1,15.45,15,15,-78975,-278.15,37950,-14775,N,-32400,Y,0.51,17-04-2025 12:05,-1.3,-1.4,-1.45,-45000,-27.35,102075,20175,YES,108975,N,-0.18
17-04-2025 12:10,13.8,13,9.1,-72000,-735.3,44475,-12225,YES,-28125,Y,4.63,23613.1,23625.4,12.7,12.9,13.45,10200,-305.6,36450,-28500,YES,-6600,YES,0.76,17-04-2025 12:10,-2.35,-2.3,-2.25,323850,-26,104025,-255075,Y,-4875,YES,-0.28
17-04-2025 12:15,18.2,17.9,19.5,-34950,-828.7,31575,90900,Y,-7875,YES,7.07,23626.9,23645.1,19.45,21.45,21.4,-14025,-339.6,40350,-117225,YES,-2025,N,0.81,17-04-2025 12:15,-3.6,-3.7,-3.7,1454400,-22.8,104475,-496050,Y,-34425,YES,-0.58
17-04-2025 12:20,-3.4,-6,-1.1,8775,-989.3,32550,-22725,YES,13650,YES,4.38,23643.5,23644.1,-3.65,-2.4,-2.2,82800,-313.2,45825,-184500,YES,2475,N,0.59,17-04-2025 12:20,-0.8,-0.85,-0.8,3247125,-22.15,125850,87975,YES,-67725,YES,-0.45
17-04-2025 12:25,37.7,34.7,33.1,-201525,-624,34500,-9225,N,-10875,Y,5.63,23640,23677.7,33.6,34.6,34.55,25800,-320.05,36675,-1140300,YES,-5700,Y,0.38,17-04-2025 12:25,-0.45,-0.35,-0.35,1136925,-19.6,110475,194175,YES,96300,Y,-0.32
17-04-2025 12:30,25.9,28.7,28.2,-460650,-726.5,35625,11775,Y,-43650,Y,9.59,23676.8,23702.7,34.2,31.45,31.6,-7050,-377.1,41925,-683100,Y,-20175,Y,0.49,17-04-2025 12:30,-0.25,-0.3,-0.3,2088750,-19.6,104850,-1439325,Y,-139125,YES,-0.35
