last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
23-04-2025 10:05,-40.5,-40.5,-41,25050,-906.8,30075,1950,N,-16575,Y,-7.08,24270.4,24229,-10.45,-10.25,-10.25,8775,-59.15,49875,-50550,Y,190650,N,-2.61,30.9,30.8,30.85,-7275,-101.3,38775,-337875,Y,-329925,Y,3.57,-34.6,-33.4,-31,6270,-3166.8,19140,3870,N,3000,N,-29.59
23-04-2025 10:10,-43,-42,-42.1,-42825,-887.1,36525,-28725,YES,9750,YES,-6.29,24230,24190,-13.85,-13.5,-13.55,-18300,-53.7,53850,-174300,YES,149475,N,-1.9,29.45,28,28.15,62700,-119.25,38850,-24900,YES,-209475,Y,2.84,-56.4,-51.4,-54,21270,-2418.6,13740,2040,YES,-3300,Y,-17.21
23-04-2025 10:15,32,30.2,31.4,-44325,-1016.6,31875,3075,Y,-5850,Y,-3.59,24190,24222.9,9.1,8.9,8.95,-41850,-52.75,54825,344700,Y,139350,N,-1.73,-22.65,-23.25,-23.4,15450,-121.25,40500,-93300,Y,138600,Y,1.5,37.4,42.2,27.8,-2160,-2770.4,12990,-4590,YES,11130,N,-9.55
23-04-2025 10:20,-12,-10.2,-8.8,-9975,-776.5,28125,-41850,YES,51300,YES,-2.5,24222.9,24214.4,-2.3,-2.2,-2.15,189975,-51.05,47175,38325,N,262350,YES,-0.89,7.15,6.55,6.7,40800,-114.25,40200,-27450,YES,3975,N,1.04,-10.8,-8.4,-5.4,-5190,-2494.8,13410,12720,N,7380,N,-9.14
23-04-2025 10:25,20.6,22.4,21.4,9600,-749.4,26175,7875,N,-17775,Y,-1.7,24214.4,24235,5.1,4.65,4.65,-49125,-48.55,57000,150675,Y,-27975,Y,-0.8,-17.3,-16.45,-16.5,-3975,-111.15,39225,-20025,N,64875,Y,0.63,48,46.8,41,1530,-2223.6,13410,-1770,YES,-1290,Y,-10.98
23-04-2025 10:30,-35.5,-33.8,-36,54150,-765.7,28800,-450,YES,-8475,N,-2.22,24234.5,24195.3,-10.7,-9.95,-9.95,-3375,-54,60300,-269700,YES,43200,YES,-1.1,22.6,22.65,22.8,7800,-113.1,40275,89625,YES,-67500,YES,0.91,-144.8,-143,-145.8,27540,-2519.2,16140,-14280,YES,10770,N,-17.83
23-04-2025 10:35,-6.9,-10.2,-9.5,-6750,-1155.9,27750,-4500,YES,5325,N,-6.51,24195.3,24188.4,-3.4,-3.2,-3.25,-99225,-47.4,56325,60000,Y,113925,YES,-1.39,7.95,7.4,7.55,-7125,-135.95,38925,-100125,Y,17250,Y,1.45,17.4,23.2,22,8400,-2604.6,13110,-10380,N,17100,N,-9.82
23-04-2025 10:40,-10.4,-9.2,-9.4,49575,-914.3,25200,6750,N,-11325,Y,-1.63,24188.4,24177,-2.2,-2.1,-2.1,206100,-46.35,63675,-49425,YES,60750,N,-0.63,8.8,8.25,8.25,-2700,-138.05,38775,12300,YES,-47775,YES,0.85,-56.4,-56.2,-54.8,780,-2347,12180,1050,N,1140,Y,-13.9
23-04-2025 10:45,-24.9,-24.9,-26.4,23175,-949.5,30150,-9900,YES,19875,YES,-3.56,24177,24158.2,-5.6,-5.75,-5.8,-128550,-43,54675,-314850,YES,36300,N,-1.15,17.45,16.95,17.05,-13275,-137.85,37725,-51300,Y,-34350,N,1.41,-7.8,-14.6,-4,2730,-2269.6,14040,1560,N,-1230,Y,-13.94
23-04-2025 10:50,-28.3,-22.5,-23.4,27150,-956.7,27450,-40200,YES,9975,N,-5.63,24160,24131.7,-6,-5.6,-5.6,-123600,-37.05,55125,-6975,Y,59475,YES,-1.18,19.25,16.9,17.1,1875,-147.95,34800,10725,YES,-91875,YES,1.17,-16.2,-10.6,-14.4,15900,-2479,10710,270,YES,2280,N,-8.46
